Mixture	Myeloid_cell	T_cell	pDC	Fibroblast	Endothelial_cell	B_cell	Cancer_cell	Mast_cell	P-value	Correlation	RMSE
BCRF1_3&EN_11770_354_EN_E_S1_R1_001	0.00702834968662698	0	0	0	0.00774446362558292	0	0.985173601013211	5.35856745787595e-05	0	0.69584273576276	0.739097294403633
BCRF1_3&EN_11772_354_IDC_E_S3_R1_001	0.070884885168602	0	0	0.0368725117521727	0.0312423297137862	0	0.861000273365439	0	0	0.534768725417833	0.847440696912709
BCRF1_3&EN_11774_354_RS1_E_center_S5_R1_001	0.0224006602410952	0	0	0.158472450822603	0.0161593573740623	0.00026891483130652	0.802664167891093	3.44488398400754e-05	0	0.688459329256336	0.741794986045921
BCRF1_3&EN_11776_354_RS1_E_peripheral_S7_R1_001	0.00140567942980036	0	0	0	0.00994835190877181	0	0.9886385304286	7.43823282837793e-06	0	0.698436434640394	0.736856975646961
BCRF1_3&EN_11778_354_RS2_E_center_S9_R1_001	0.00386832942708763	0	0	0	0.0243803442077616	0.000217420159765484	0.971430851190442	0.000103055014943391	0	0.705201750139742	0.733910012037439
BCRF1_3&EN_11780_354_RS2_E_peripheral_S11_R1_001	0.00831641118683879	0	0	0	0.0139036463971423	0.000182796891575091	0.977518112533238	7.90329912061803e-05	0	0.710684979333155	0.729317593373183
BCRF1_3&EN_11782_354_NL_E_S13_R1_001	0.0143994846573384	0	0.000625303684236028	0	0.0198412371918	0.000344758276255074	0.964677453967508	0.000111762222862395	0	0.7536040411947	0.699788111169452
BCRF1_3&EN_11784_355_RS1_E_center_S15_R1_001	0.0107219576026908	0	0	0.0200482123539798	0.0189767671804829	6.6951571352897e-06	0.950030212406291	0.000216155299420195	0	0.667750296465654	0.760906975586451
BCRF1_3&EN_11786_355_RS1_E_peripheral_S17_R1_001	0.00758691011885348	0	0	0	0.0080851026580274	0	0.984245853393479	8.21338296402354e-05	0	0.697518640812073	0.737999505996813
BCRF1_3&EN_11789_355_RS2_E_center_S20_R1_001	0.00414658672178115	0	0	0.055740654999117	0.0214658329565401	0	0.918585993105269	6.0932217292747e-05	0	0.666998010073595	0.761366625417376
BCRF1_3&EN_11791_355_RS2_E_peripheral_S22_R1_001	0.0033831296920344	0	0	0	0.0212498328848044	4.19417131447857e-05	0.975258798259874	6.62974501420034e-05	0	0.724124439334648	0.719852471697262
BCRF1_3&EN_11794_355_NL_E_S25_R1_001	0.00947749585450432	0	0	4.89882563354106e-06	0.0100542176114389	0.000241667565770675	0.980146971477262	7.47486653906244e-05	0	0.717970979569784	0.723746381614137
BCRF1_3&EN_11796_355_RS3_E_center_S27_R1_001	0.0269512182797593	0	0	0.00451715114299434	0.028184124925427	0.000363182275644355	0.93978318516868	0.000201138207495168	0	0.747968358508998	0.707369311689347
BCRF1_3&EN_11798_355_RS3_E_peripheral_S29_R1_001	0.0256022643566952	0	0	0	0.0212992989860016	0.000303549966896805	0.952680333068563	0.000114553621843648	0	0.79933188450963	0.667416978336408
BCRF1_3&EN_11800_356_NL_E_S31_R1_001	0.00795418040173662	0	0	0.00424550931597962	0.00865634230150891	0.000309184765370249	0.978795876338318	3.89068770861628e-05	0	0.723211754652032	0.719833271195535
BCRF1_3&EN_11802_356_RS1_E_center_S32_R1_001	0.0228114580095158	0	0	0.0326776498011402	0.00759731842222794	0.000278743126964764	0.936517106543263	0.00011772409688862	0	0.737868553966134	0.712401307666188
BCRF1_3&EN_11804_356_RS1_E_peripheral_S34_R1_001	0.0112474550856181	0	0.000406143250136414	0	0.0250928742959845	0.000318692167327697	0.962845754854002	8.90803469311924e-05	0	0.7391291007739	0.71065827559495
BCRF1_3&EN_11806_357_NL_E_S50_R1_001	0.00177243026372998	8.33837455704276e-05	0	0	0.00298680727611643	0.0010167782041215	0.993871360123661	0.000269240386800347	0	0.67181502482101	0.755311968261731
BCRF1_3&EN_11808_357_RS1_E_center_S32_R1_001	0.00644702623089207	0.000275615556342916	0.000451505113202691	0.125391055925489	0.00719768528508362	0.00097015135978466	0.859038187940272	0.000228772588933212	0	0.661689734986365	0.761733755243992
BCRF1_3&EN_11810_357_RS1_E_peripheral_S5_R1_001	6.90650353553901e-05	1.19521124739824e-05	0.000157349611542734	0	0.00186320952357104	0.000658060054245942	0.997226652635705	1.37110271063577e-05	0	0.764027223129834	0.686773899242849
BCRF1_3&EN_11813_358_NL_E_S36_R1_001	0.0151334393868623	0.000744378559380881	0	0.00591665018152166	0.0271136358150202	0	0.949885833847247	0.00120606220996816	0	0.848735768241494	0.628347339583509
BCRF1_3&EN_11815_358_EN_E_S38_R1_001	0.01187762701022	0	0	0.00874672220901331	0.0180018043965144	0	0.961311687579307	6.21588049457103e-05	0	0.763394858342769	0.692295345027801
BCRF1_3&EN_11817_358_RS1_E_center_S40_R1_001	0.0136397699855768	0	0	0.0191927880700805	0.0214299544646003	0.000432645860012942	0.94521798652497	8.68550947589624e-05	0	0.763557651166456	0.693770076608488
BCRF1_3&EN_11819_358_RS1_E_peripheral_S42_R1_001	0.00657794691390337	0	0.000252603118496309	0.0423789603552748	0.0385261946349229	0.00029599056287686	0.911874877228267	9.3427186258786e-05	0	0.773508389174155	0.688828244386311
BCRF1_3&EN_11821_358_IBC_E_S44_R1_001	0.0111415233784665	0.00050650134462637	0	0.0576597071898482	0.00272483459570128	0.000353079842962444	0.927614353648395	0	0	0.714634000583008	0.727190427746187
BCRF1_3&EN_11823_358_RS2_E_center_S46_R1_001	0.0140623741346584	0	0	0.24293752266198	0.0887959616445563	0.000292736794692204	0.653899461713421	1.19430506923803e-05	0	0.693801572403799	0.730071888264689
BCRF1_3&EN_11825_358_RS2_E_peripheral_S48_R1_001	0.018310554882255	0	0	0	0.0149200275956767	9.42728940676529e-05	0.966618982649013	5.61619789879186e-05	0	0.750769477255472	0.701579841924418
BCRF1_3&EN_11827_359_RS1_E_center_S50_R1_001	0	0	0	0.000452749645073876	0.00768107361608694	0	0.991866176738839	0	0	0.776332615230685	0.677993498936514
BCRF1_3&EN_11829_359_RS1_E_peripheral_S52_R1_001	0.0338026563048037	0	0.00127544087942987	0.0529945194048874	0.0683378747933096	0.000707119938120004	0.842601216902457	0.000281171776992767	0	0.676679727128982	0.762683538443846
BCRF1_3&EN_11831_359_NL_E_S54_R1_001	0.0306095969257672	0	0	0.0118057982155051	0.0166160545900981	0	0.940968550268629	0	0	0.501690572611235	0.866177589077082
BCRF1_3&EN_11833_359_RS2_E_center_S55_R1_001	0.00554240797278059	0	0	0.0211547983442961	0.0103143310061102	0.000353882410917394	0.962495155262258	0.000139425003638039	0	0.719317266396539	0.723419442599933
BCRF1_3&EN_11835_359_RS2_E_peripheral_S57_R1_001	0.0181508981391055	0	0.000217132413419082	0.00993838002805685	0.0286361097640844	0.00043101929138648	0.942546742504111	7.97178598371354e-05	0	0.782307383977071	0.681256204593558
BCRF1_3&EN_11837_359_IDC_E_S59_R1_001	0.0411717049797255	0.00158415054084881	0.00208642238333439	0.106121619438536	0.0101656842594731	0.000498173245964785	0.8379423655229	0.000429879629217217	0	0.801531870333538	0.667021900594526
BCRF1_3&EN_11838_360_RS1_E_center_S4_R1_001	0	0.00068583273225823	0	0.00745785386174402	0.000972021548828089	0.000134670373431797	0.990644700766122	0.00010492071761558	0	0.748472624278614	0.699157611689385
BCRF1_3&EN_11840_360_RS1_E_peripheral_S8_R1_001	0.000910111913782914	0	0	0	0.00113123714533616	0.00027669542888445	0.997593492060855	8.84634511416194e-05	0	0.773431572656548	0.679362974023089
BCRF1_3&EN_11842_360_NL_E_S3_R1_001	0.00460503983539883	0.000406481062141521	0.000930247407044494	0.0182566523866066	0.00629808193477491	0.00111984013886227	0.968182184748844	0.000201472486327878	0	0.669527052493328	0.758221537792404
BCRF1_3&EN_11844_361_RS1_E_center_S34_R1_001	0.00580097271782835	0.00115678329293203	0.00100013411831531	0	0.00828440157646338	0.00294388683900205	0.980211990945886	0.000601830509573174	0	0.694465777498521	0.740664354737932
BCRF1_3&EN_11846_361_RS1_E_peripheral_S7_R1_001	0.00813962190068318	0	0	0	0.00438765397499041	0.000950905794126368	0.986220837342681	0.000300980987519501	0	0.666522524977266	0.759670255086738
BCRF1_3&EN_11848_361_RS2_E_center_S18_R1_001	0.00390640468429996	0.00101378309420542	0	0.179267119419258	0.00300083721172277	2.96925180761195e-05	0.812599705605892	0.000182457466546296	0	0.71795552410162	0.714719263075191
BCRF1_3&EN_11850_361_RS2_E_peripheral_S10_R1_001	0.000446408595634674	0	0.000170823969434891	0	0.00260090655061777	0	0.996650969059931	0.000130891824381618	0	0.68196298044438	0.747862759956989
BCRF1_3&EN_11852_361_RS4_E_center_S9_R1_001	0.00212521484551095	0.000557565678819307	3.68491050556771e-05	0.0382303351486661	0.00294527804092348	0.000834447135878286	0.95507933864878	0.000190971396366179	0	0.671112049542394	0.756897126463259
BCRF1_3&EN_11854_361_RS4_E_peripheral_S11_R1_001	0.00494984719571041	0	0	0.00298151747608961	0.00594719020585842	0.000655604179576346	0.985358635976495	0.000107204966270109	0	0.710355337250154	0.728473127976937
BCRF1_3&EN_11856_361_RS3_E_center_S21_R1_001	0.00601895754042603	0.000305908326410679	0.000455800322377983	0.0156849406272419	0.00288871577727556	0.000994184731210429	0.973470614232037	0.000180878443020665	0	0.673783990844758	0.754947618345645
