Mixture	luminal epithelial cell of mammary gland	mammary gland epithelial cell	basal cell	naive B cell	IgG plasma cell	class switched memory B cell	unswitched memory B cell	IgA plasma cell	effector memory CD8-positive, alpha-beta T cell	gamma-delta T cell	natural killer cell	lymphocyte	mature NK T cell	activated CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	regulatory T cell	T cell	CD4-positive helper T cell	effector memory CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	activated CD8-positive, alpha-beta T cell	myeloid dendritic cell	non-classical monocyte	macrophage	classical monocyte	conventional dendritic cell	M1 macrophage	myeloid cell	M2 macrophage	plasmacytoid dendritic cell	neutrophil	fibroblast	endothelial cell of lymphatic vessel	vein endothelial cell	endothelial cell of artery	capillary endothelial cell	pericyte	vascular associated smooth muscle cell	mast cell	P-value	Correlation	RMSE
BCRF1_3&EN_11770_354_EN_E_S1_R1_001	0.30505145335298	0.180835719449604	0.0309835484302736	0	0	0.15658087212854	0	0	0.0105493382277093	0	0	0.0485769054246886	0.00586579860726385	0	0.0935250196184584	0	0	0	0.0272782639614877	0.0047183526260724	0	0	0	0.00505084188931902	0	0	0	0.108840755827791	0	0	0	0.000359232893105446	0.00360339697746393	0	0	0.0158719654983875	0.00230853508685514	0	0	0	0.619327713248725	0.895074779859082
BCRF1_3&EN_11772_354_IDC_E_S3_R1_001	0.3473984807367	0	0.00582285598937088	0	0	0.103075037656825	0	0	0.00961265695869786	0	0	0.0380760773042295	0.000920446979029968	0.00215830849475399	0.085876446625258	0.0221697594346195	0	0	0.00341938065938346	0.00871695892743782	0	0	0	0.0157132255324719	0	0	0.0123669029490926	0.258735364333744	0.00720616085811589	0	0.00869586577485729	0.00206960267450951	0	0	0	0.0505274994253014	0.0165296277839398	0.000909340901660797	0	0	0.36846323731254	0.945715434389711
BCRF1_3&EN_11774_354_RS1_E_center_S5_R1_001	0.137814112603312	0.214980786919549	0.097350261788723	0	0.00037579063509806	0.105390775405992	0	0	0.00434086876585044	0	0	0.0390792026028912	0.0105639561785321	0	0.104008712744054	0.02016222855176	0	0	0.0148297426214485	0.00388613444983006	0.00493881409214115	0	0	0.00576862532041516	0	0	0.00920719190753078	0.125484944195836	0	0	0	0.0376626546031071	0.00688375663932144	0	0.0188584142814713	0.0176590430306666	0.020753982662471	0	0	0	0.61865181534276	0.893727227310379
BCRF1_3&EN_11776_354_RS1_E_peripheral_S7_R1_001	0.302514172068242	0.154130655006961	0.0628406346324023	0	0	0.136775911184115	0	0	0	0	0	0.0495363789759517	0.014278779721934	0	0.0827785336138456	0.00976248203130322	0	0	0.0441207930446952	0	0	0	0	0.000345051125462194	0	0	0	0.09984714711968	0	0	0	0.00317783181509951	0.00173710396503394	0	0	0.0321123316713556	0.00604219402391871	0	0	0	0.643930820140475	0.894032500139118
BCRF1_3&EN_11778_354_RS2_E_center_S9_R1_001	0.207991973799209	0.229044541348092	0.101621149863072	0	0	0.0887558193415914	0	9.86662065757488e-05	0.0163325744579017	0	0	0.0420955689202679	0	0	0.106604093222245	0.00627048802565961	0	0	0.0162101610454556	0	0.000938872336528609	0	0	0	0	0.00325153019959778	0	0.134551459989929	0	0.00294012500591761	0.000468954152966477	7.25440794964563e-05	0.00213052039410328	0	0	0.0318525135614922	0.00876844404989917	0	0	0	0.679509965481121	0.878458878614406
BCRF1_3&EN_11780_354_RS2_E_peripheral_S11_R1_001	0.223457503925623	0.233441176200575	0.0700866724626722	0	0	0.125607960159325	0	0	0.0255781904160931	0	0	0.0477779010176777	0.00508324302715505	0	0.130567818691123	0	0	0	0	0.00186515160719829	0	0	0	0	0	0	0	0.0968645821493303	0	0	0	0	0.00915965204726852	0	0	0.023073126407073	0.00743702188888557	0	0	0	0.644517446689787	0.888809407042153
BCRF1_3&EN_11782_354_NL_E_S13_R1_001	0.269026496322524	0.103664422426445	0.111516037494265	0.0220867702755158	0.00654178911435233	0.0834365956494638	0	0.00234739938374771	0	0	0	0.0527759912309664	0.00796897848566359	0	0.115867747158456	0.0192923515009785	0	0	0	0.0178866619459998	0.000347295677205353	0	0	0	0	0	0	0.12696819229155	0.0050903730561007	0	0	0.0167986307484258	0.00211530530509036	0	0.0030545964383798	0.0272213355872834	0.0059930299075859	0	0	0	0.603109602012708	0.903246169828725
BCRF1_3&EN_11784_355_RS1_E_center_S15_R1_001	0.166735277002907	0.252559190316198	0.0527059555091267	0	0	0.0984458947851112	0.00859228805106974	0	0.0206969235659916	0	0	0.04342541298988	0.0106800601815856	0.0394995725603208	0.0901443134866574	0	0	0	0.044876266410948	0	0	0	0.00327737254696362	0	0	0	0.00626836962724342	0.114992704321008	0	0	0	0.00795479167304413	0.00509261690900858	0	0.00748954549540921	0.0127395123613216	0.0138239322062051	0	0	0	0.650934827528827	0.884678646376164
BCRF1_3&EN_11786_355_RS1_E_peripheral_S17_R1_001	0.479733236224116	0	0.0551839115779296	0	0	0.126059725316818	0	0	0.00843073975877894	0	0	0.0525529788216098	0.00714916431330967	0.000622206912437438	0.0776615871449723	0.000490654297145673	0.00190877339380409	0	0.00200318968122751	0.00511132119021237	0	0	0	0	0	0	0	0.141938118880808	0	0.00361330825961859	0.00129891412337528	0.000398185736020868	0	0	0	0.0304414254782023	0.00540255888961421	0	0	0	0.663886820639167	0.894223150926243
BCRF1_3&EN_11789_355_RS2_E_center_S20_R1_001	0.120690188244396	0.298277293376217	0.0730975116796409	0	0	0.105282277743705	0	0	0.0133582411122162	0	0	0.0433744314863684	0.0222393435705503	0	0.0996575019224694	0.00199999377956852	0.00184007255195553	0	0.0313978754610902	0	0.0015044705303396	0	0	0	0	0	0	0.134355071507243	0	0	0	0.0115794125849341	0.000205275698175739	0	0.0122973673527429	0.0167815633583286	0.012062108040058	0	0	0	0.650730748646977	0.88128613117912
