Mixture	Myeloid_cell	T_cell	pDC	Fibroblast	Endothelial_cell	B_cell	Cancer_cell	Mast_cell	P-value	Correlation	RMSE
BCRF1_3&EN_11771_354_EN_S_S2_R1_001	0.113933109801002	0	0.0235182704561809	0.545716549159733	0.296354050810213	0.00678410564319367	0.0122175420108442	0.00147637211883311	0	0.425258278529752	1.03355653294256
BCRF1_3&EN_11773_354_IDC_S_S4_R1_001	0.286771464912316	0.0360904665469783	0.00567006145505552	0.621440924029269	0.0466377015214764	0.00247774735613344	0.000911634178771628	0	0	0.879419916592838	0.497653868092279
BCRF1_3&EN_11775_354_RS1_S_center_S6_R1_001	0.164352126726777	0.0114137397532897	0.0177407984697639	0.718879257169281	0.0826288080638398	0.00352717598360581	0.0014580938334437	0	0	0.859071957811233	0.595425648661167
BCRF1_3&EN_11777_354_RS1_S_peripheral_S8_R1_001	0.125852170143661	0.0114909346405644	0.00240780018636348	0.549983909079048	0.301872650072203	0.00477423929383651	0	0.00361829658432324	0	0.686436934562514	0.768033822480914
BCRF1_3&EN_11779_354_RS2_S_center_S10_R1_001	0.150443326087349	0.0181212868861058	0.00885382238373725	0.464378136395766	0.232365283562057	0.00454246885189899	0.121295675833086	0	0	0.704497318448915	0.716542155498635
BCRF1_3&EN_11781_354_RS2_S_peripheral_S12_R1_001	0.0670883961301013	0	0	0.509951404092337	0.333396993060927	0.00444873011743133	0.0851144765992033	0	0	0.498407141875395	0.947801935211797
BCRF1_3&EN_11783_354_NL_S_S14_R1_001	0.13228794368013	0.033332659070974	0.0142465780515776	0.48002970132339	0.31015684696575	0.00675277600211309	0.0204641770126118	0.00272931789345284	0	0.350936902965281	1.05134452735951
BCRF1_3&EN_11785_355_RS1_S_center_S16_R1_001	0.13502907795977	0.0211975591038309	0.0173068937973439	0.750613816231502	0.0489180588258986	0.00424518273468683	0.020433370734734	0.0022560406122333	0	0.951855474822136	0.400129530302039
BCRF1_3&EN_11787_355_RS1_S_peripheral_S18_R1_001	0.11007144111281	0	0	0.643442855846676	0.23262439902623	0.00426760967381491	0.00959369434046956	0	0	0.620615689658873	0.900349297814149
BCRF1_3&EN_11790_355_RS2_S_center_S21_R1_001	0.112171493213777	0.0364656138302999	0.024782836129085	0.636276557581231	0.0773768638167846	0.0041195124222658	0.108807123006557	0	0	0.908117437357962	0.439156247024039
BCRF1_3&EN_11792_355_RS2_S_peripheral_S23_R1_001	0.0981755589614296	0.000331080353686432	0.00122705895416213	0.738614459001492	0.139226844149005	0.00387567418546841	0.0183608546505572	0.000188469744199845	0	0.823799440328719	0.679306410866275
BCRF1_3&EN_11795_355_NL_S_S26_R1_001	0.0578537979321646	0.0159558321016362	0.00709136927343226	0.772762082831875	0.134086093195796	0.0043754998178532	0.0078753248472424	0	0	0.839156457274292	0.680428147858914
BCRF1_3&EN_11797_355_RS3_S_center_S28_R1_001	0.114370720381222	0.00523841771552083	0.000886595524091449	0.70522524435611	0.091677813574806	0.00339412310568027	0.0792070853425699	0	0	0.932245938239573	0.420894861494914
BCRF1_3&EN_11799_355_RS3_S_peripheral_S30_R1_001	0.11853643877503	0.00406093338606597	0	0.741866415723066	0.13095683931931	0.00338726839419976	0.00119210440232841	0	0	0.845902050178358	0.641332419957459
BCRF1_3&EN_11803_356_RS1_S_center_S33_R1_001	0.180120911128248	0.0291898145564137	0.00763016323295619	0.652283845766197	0.123013895310051	0.00430795447064455	0.00345341553548904	0	0	0.843955594749456	0.580809091405144
BCRF1_3&EN_11805_356_RS1_S_peripheral_S35_R1_001	0.0813736234905641	0	0.012262123360134	0.790199229754458	0.110530262297718	0.00383944579729326	0	0.0017953152998333	0	0.952568150730762	0.442797849067688
BCRF1_3&EN_11807_357_NL_S_S41_R1_001	0.0640620652021255	0.00249473130696934	0	0.759221795212883	0.15096898929072	0.00681079525795837	0.0164416237293438	0	0	0.796005802218102	0.744807025735701
BCRF1_3&EN_11809_357_RS1_S_center_S33_R1_001	0.12881975011627	0	0.0293512188518467	0.762687100115693	0.0613233704488526	0.00634914712263677	0.0114694133447007	0	0	0.925051593073801	0.485956046137553
BCRF1_3&EN_11811_357_RS1_S_peripheral_S42_R1_001	0.190970740319666	0	0.00850913075570972	0.488246699309689	0.260242982954315	0.00614245223122783	0.0437877749048851	0.00210021952450748	0	0.585275129832554	0.850277516080603
BCRF1_3&EN_11814_358_NL_S_S37_R1_001	0.137818742600865	0.0104298459714996	0	0.581673422412683	0.185981128313108	0.0024292818461523	0.079786930425318	0.00188064843037422	0	0.685247818229144	0.781188023223642
BCRF1_3&EN_11816_358_EN_S_S39_R1_001	0.156171075281717	0.0412918483507685	0.00402995530324304	0.489025067494422	0.120698258589577	0.00321111493452706	0.185572680045745	0	0	0.852819135930991	0.523368356508278
BCRF1_3&EN_11818_358_RS1_S_center_S41_R1_001	0.133947847372436	0.0364746678956483	0.0177415421652172	0.659084407452155	0.129839508032957	0.0032030574083873	0.0157349049150509	0.0039740647581483	0	0.936892896109555	0.376926043363703
BCRF1_3&EN_11820_358_RS1_S_peripheral_S43_R1_001	0.192956565778316	0.0366571294619668	0.0177858215075851	0.596009810807506	0.139539076189483	0.00211211022077587	0.0148313512847774	0.000108134749590054	0	0.802701517335254	0.623342285713346
BCRF1_3&EN_11822_358_IBC_S_S45_R1_001	0.174398923854327	0.0851134196569626	0.0171944427359002	0.365241744961874	0.0282355338806352	0.00456180449105117	0.324412160342885	0.000841970076365807	0	0.762796310573212	0.655708401647289
BCRF1_3&EN_11824_358_RS2_S_center_S47_R1_001	0.0794630476326859	0.0225678214149352	0.0195811045950978	0.810460554115551	0.0637217142968695	0.00420575794486077	0	0	0	0.943361318209654	0.486594577413521
BCRF1_3&EN_11826_358_RS2_S_peripheral_S49_R1_001	0.117876313264004	0.00560914710631615	0	0.581734158343097	0.28938888322694	0.00365651321647337	0.000102846806795802	0.00163213803637438	0	0.665396352856025	0.809579554530055
BCRF1_3&EN_11828_359_RS1_S_center_S51_R1_001	0.117055800245195	0.0306023746635603	0.0108835513640693	0.65169434744468	0.150659138646247	0.00383387095127506	0.0330199431205591	0.00225097356441373	0	0.807914606095951	0.643274036594864
BCRF1_3&EN_11830_359_RS1_S_peripheral_S53_R1_001	0.142959782532018	0.0135594399966528	0.00873005112923239	0.308649359780468	0.438338430652078	0.0101968056467691	0.0751434767814518	0.00242265348132976	0	0.249153642433287	1.0380904800027
BCRF1_3&EN_11834_359_RS2_S_center_S56_R1_001	0.102685503966142	0.0212885058728411	0.0165855284293927	0.737582455511248	0.0632633132717233	0.00590765826060846	0.0508301864251338	0.00185684826291005	0	0.891795545156665	0.541713482513685
BCRF1_3&EN_11836_359_RS2_S_peripheral_S58_R1_001	0.103264400169921	0.0120101741251465	0	0.651381031306705	0.210579498105524	0.00409179021835941	0.017506559586669	0.00116654648767475	0	0.755533297741478	0.727789440039459
BCRF1_3&EN_11839_360_RS1_S_center_S43_R1_001	0.0880314017298855	0.0227282629109466	0.0111559318329864	0.805906021167576	0.0547762886416137	0.00823350779338083	0.00916858592361056	0	0	0.932720881472544	0.509089482411701
