Mixture	luminal epithelial cell of mammary gland	mammary gland epithelial cell	basal cell	naive B cell	IgG plasma cell	class switched memory B cell	unswitched memory B cell	IgA plasma cell	effector memory CD8-positive, alpha-beta T cell	gamma-delta T cell	natural killer cell	lymphocyte	mature NK T cell	activated CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	regulatory T cell	T cell	CD4-positive helper T cell	effector memory CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	activated CD8-positive, alpha-beta T cell	myeloid dendritic cell	non-classical monocyte	macrophage	classical monocyte	conventional dendritic cell	M1 macrophage	myeloid cell	M2 macrophage	plasmacytoid dendritic cell	neutrophil	fibroblast	endothelial cell of lymphatic vessel	vein endothelial cell	endothelial cell of artery	capillary endothelial cell	pericyte	vascular associated smooth muscle cell	mast cell	P-value	Correlation	RMSE
BCRF1_3&EN_11771_354_EN_S_S2_R1_001	0	0.00245458364879743	3.81682593216108e-05	0.0468812746026784	0.0566995736939015	0.0195242724994613	0	0.012420208535022	0.0153657591039656	0	0	0.0454062075344712	0.0526495600129189	0	0.138249114917953	0.0276659561404263	0	0.00410608021280958	0	0	0.0083158154915777	0	0	0	0	0	0.00438702396560126	0.133492502192402	0	0.00421407357659871	0	0.310648585698452	0.00624574273368185	0	0.00468762708340394	0.0839163579525881	0.00967950669536855	0.0129520054485994	0	0	0.861445690110601	0.717701330505075
BCRF1_3&EN_11773_354_IDC_S_S4_R1_001	0	0.000691775504895721	0.00876745861484077	0.0204083392568666	0.00502997698610412	0.0694593149359139	0	0	0.0463515700053528	0	0.000272213255881068	0.0469138986931798	0.0450515554888119	0	0.104340378630991	0.0390806003650175	0	0	0	0.0141607238635881	0.0157931227323422	0	0	0.0398852993455869	0	0	0.0343004558212935	0.251004456552352	0	0.0144295811709572	0.00255768347920221	0.145849685166603	0.00701561371248761	0	0	0.0481204101692078	0.0405158862485246	0	0	0	0.612493457505606	0.891287861662911
BCRF1_3&EN_11775_354_RS1_S_center_S6_R1_001	0	0.0122062575479116	0.0135221468807098	0.0419257889875719	0.0641099996948882	0.0443413109838825	0	0.0124914788325249	0.0209684765774015	0	0.0109618121456695	0.0344593374399265	0.0152134389243473	0	0.120747976637891	0.0228941905346504	0	0	0	0.0308333700606304	0.0240311321443217	0	0	0	0	0.00248723615537542	0.00687991285098852	0.187647412633762	0.00377586426368895	0.010079942331535	0.00181987049940665	0.202584762763047	0.00319938640127775	0	0	0.0742290354387893	0.0352112312363207	0.00337862803348212	0	0	0.909960909198443	0.667704881798728
BCRF1_3&EN_11777_354_RS1_S_peripheral_S8_R1_001	0	0	1.96417922201448e-05	0.0175694321100387	0.0235796005153157	0.0556599845833098	0	0.00224892000361072	0.0272500599087847	0	0.00206767867256093	0.0486085392307837	0.0186411105397146	0	0.113591324977774	0.0244219262949298	0	0	0	0.00558405526606522	0.0303217398585068	0	0	0	0	0	0.00890241630406246	0.148017961183026	0	0.00128846649666608	0.0016437928014052	0.338335279221185	0.019818232634855	0	0.00187741893003665	0.0948835721727364	0.0156688465024126	0	0	0	0.770539186071563	0.842617654234059
BCRF1_3&EN_11779_354_RS2_S_center_S10_R1_001	0	0.0566627942523414	0.0193705071049684	0.0302637987054086	0.0340669540716555	0.100883542376268	0	0.00264298819809424	0.0241481703348987	0	0	0.0306809201167522	0.0255887788910324	0	0.165541796440881	0.0114448684558045	0	0	0.00456779705401644	0.0114505287455489	0.0255574752567819	0	0	5.30618354879655e-05	0	0	0	0.161824213758267	0	0.00498236491763067	0	0.161207940940891	0.00228793461934262	0	0	0.0867895016075362	0.039984062316394	0	0	0	0.806145160529008	0.819760804475397
BCRF1_3&EN_11781_354_RS2_S_peripheral_S12_R1_001	0	0.00625678858256071	0.0235578901564351	0.013841361197519	0.0224224587714681	0.0618504232478031	0	0.00523070239900213	0.0230665610422556	0	0	0.051181262824	0.0343748366855449	0	0.108733925593974	0.0381174846605629	0	0	0	0	0.00575851095529102	0	0	0	0	0	0	0.147464536372088	0	0.00906054593554209	0	0.3023143481008	0.0178101738348088	0	0	0.108200207817352	0.0023753525808096	0.0183826292421836	0	0	0.699543042540862	0.863325388392261
BCRF1_3&EN_11783_354_NL_S_S14_R1_001	0.00385834836278424	0.00422704520912536	0.00629887394037453	0.0357377993113238	0.0715329707669596	0.0266077045146337	0	0.0254826723888344	0.021166492201737	0	0.0054885751703358	0.0640726396749949	0.0194015515535354	0	0.125712870656768	0.033828785410156	0	0	0	0	0.0280884352893791	0	0	0	0	0	0	0.156218121655555	0	0.00433474187962726	0.00133178699303483	0.265140377022512	0.0071918381211608	0	0.00599328600973886	0.0696256362971751	0.0186594475702545	0	0	0	0.932566297345381	0.600279938034175
BCRF1_3&EN_11785_355_RS1_S_center_S16_R1_001	0.00484419379639252	0.0101166011090569	0.0347247611817	0.0292773242312884	0.0221972062288919	0.0755170846974884	0	0.0033669259124133	0.0539142149577866	0	0	0.0578007365889981	0.0213384249452247	0	0.0930791498512411	0.00873606293577925	0	0.0102915489832288	0	0	0.0120824174169596	0	0.00426210459377449	0	0	0.00773601760358531	0.00313279663236395	0.23092287170204	0.0103853026483047	0.0108286480935478	0.000453461902059288	0.187238453498415	0.00773605182153406	0	0	0.0667576414321899	0.0332599972357358	0	0	0	0.657378555149801	0.872235261476405
BCRF1_3&EN_11787_355_RS1_S_peripheral_S18_R1_001	0	0.00143634090739984	0.0151011949460177	0.0165207311723255	0.0114550517282757	0.0707378882717286	0	0.00908713558983322	0.0294482600681016	0	0.00257022139809219	0.0389790475086379	0.0179069907987357	0	0.100084820177095	0.0145051741576549	0	0	0	0	0.0125324334822821	0	0	0	0	0	0.00187820755388233	0.16113271934717	0	0.00820430571913823	0.00161005089511717	0.37254200449541	0.00238193533863465	0	0	0.106158513283645	0.00572697316082315	0	0	0	0.596109059866928	0.892318528323183
BCRF1_3&EN_11790_355_RS2_S_center_S21_R1_001	0.0654241734183881	0.00857903469287201	0.0388922125211832	0.0179675668072724	0.0259383723523641	0.0793690476412088	0	0.0116996789284096	0.0279958305395059	0	0	0.0601774129581781	0.0392090673793925	0	0.128558319088154	0.0091684249505082	0	0	0.0332560154827141	0.0195965328692788	0	0	0	0.00165285370779165	0	0	0	0.204372114535805	0	0.0202699146491353	0	0.140832413780726	0.00642076141433873	0	0.000150751664301625	0.038733834075228	0.0217356665432444	0	0	0	0.801221747365	0.82440991744988
BCRF1_3&EN_11792_355_RS2_S_peripheral_S23_R1_001	0	0.000710198160126141	0.0127650584282468	0.00380914830310199	0.0111744257437377	0.050836336532458	0	0.00707575806895314	0.0265430893332235	0	0	0.0504218939919743	0.017959883096302	0	0.119306061885256	0.0231003808299841	0	0.012093099179277	0	0	0.0397695498916268	0.000518093846309494	0	0	0	0	0.0163271446578762	0.172669162629539	0	0.0181909988569667	0.00610879535191758	0.314136018989643	0.0132143881441959	0	0	0.0766994345877775	0.00657107949150683	0	0	0	0.571753803210123	0.899166099640228
BCRF1_3&EN_11795_355_NL_S_S26_R1_001	0	0.00189814291097795	0.000237730353599358	0.0333811676911108	0.0254016582327001	0.0424618040906496	0	0.0126829133915595	0.0324762230376916	0	0.0083818065455426	0.0372150166977631	0	0	0.130681802407146	0	0	0	0	0.000466703728195652	0.0219940512982788	0	0	0	0	0	0	0.163519051683835	0	0.0205508658921989	0.00186248754197548	0.339873693422627	0.0270440297733402	0	0	0.0847534847665888	0.00756988098771321	0.00754748554650721	0	0	0.688048615090329	0.848961122431949
BCRF1_3&EN_11797_355_RS3_S_center_S28_R1_001	0.047880097980214	0.0308991849827051	0.0283151234780892	0.0179905224728054	0.0171967259179831	0.06049108365851	0	0.0126751216284807	0.0271424650993106	0	0	0.0380152316171704	0.0286696445359629	0	0.0921242340944956	0.0376279168284287	0	0	0	0	0.00985893354717173	0	0	0	0	0	0	0.227818171985602	0.000822900276634326	0.00556203278989293	0.00205316922083019	0.185427719591286	0.0059525883624661	0	0	0.0899291857777851	0.0335479461541764	0	0	0	0.746766880135613	0.850170814702815
BCRF1_3&EN_11799_355_RS3_S_peripheral_S30_R1_001	5.18770081578012e-05	0	0	0.00257765217170432	0.00354391858788575	0.0411564278844804	0.00303459490827094	0.00188122849895906	0.0253800796592592	0	0.000979702147155116	0.0478900368052515	0.00969653972212626	0	0.11993295947743	0.0187636019119234	0	0	0	0	0.0173814531247668	0	0	0.0358339916075577	0	0	0	0.186910637421022	0	0.0189214924372675	0.00054001384031084	0.356566319139404	0.0312413873779475	0	0	0.0582352166208016	0.0194808696483183	0	0	0	0.620712802429849	0.888274157191349
BCRF1_3&EN_11803_356_RS1_S_center_S33_R1_001	0	0.0115688761039764	0.0164246537008641	0.0248278963405216	0.0786673126855828	0.0524720866324783	0.0105159988037118	0.0320124424712385	0.0164668194793791	0	0.0116372527582592	0.0403976396372962	0.0203518479590098	0	0.151497615881233	0	0	0	0	0	0.031981873265383	0	0	0	0	0.0109888200761678	0	0.207415039942698	0.0204139825917857	0	0	0.148018436532805	0.0107658976117274	0	0	0.0685406989936371	0.0350348085322446	0	0	0	0.935863921784505	0.556410249958908
BCRF1_3&EN_11805_356_RS1_S_peripheral_S35_R1_001	0	0	0.00127318070235336	0.0106434423286828	0.0205822458856593	0.0667302197732332	0	0.00545183688527453	0.0324353157974025	0	0.00418448489313939	0.0407446772425837	0.0186473730260564	0	0.0922192169150415	0.0103980261736105	0	0	0	0	0.0242581759989697	0	0	0	0	0	0	0.218971026856469	0.00523874941776155	0.0178375743140229	0.00134079533201446	0.31060675518721	0.0227112373036974	0	0	0.095638234373919	8.74315928987292e-05	0	0	0	0.725041500953221	0.852529311730004
BCRF1_3&EN_11807_357_NL_S_S41_R1_001	0	0	0.00203051247230996	0.051259127187769	0.0757134422905038	0	0	0.0679745828621436	0.0122949934335355	0	0	0.0168114445029237	0.0278472087604601	0	0.0289397059289788	0.00573305169925402	0	0.00352706023639563	0.00363542673772299	0	0.0309242756656446	0	0	0.00689971072036474	0	0	0	0.0888489801290235	0	0.00847435766340711	0	0.460862598813289	0.038138620028959	0	0	0.062727813649155	0.00334401024229352	0.00401307697586614	0	0	0.932322314810306	0.484756421067917
BCRF1_3&EN_11809_357_RS1_S_center_S33_R1_001	0	0.0204512936791964	0.0396071207685085	0.0534240000179161	0.0677264135616689	0.00905728420049027	0	0.0456948963185535	0	0	0	0.00854800240665088	0.0406920198864021	0	0.0120877743957507	0.0039760014359951	0	0.0133080919559844	0	0.0163214949740432	0.0108740738660228	0	0	0.0570233048803492	0	0.0996711810741644	0.0361036006687135	0.0534165258435762	0	0.066725423130462	0	0.293398544739493	0.000433266580682778	0	0	0.0438878088981943	0	0.00757187671718123	0	0	0.87073135265522	0.601958093959461
BCRF1_3&EN_11811_357_RS1_S_peripheral_S42_R1_001	0	0.00101019000934643	0.000203507889583156	0.017444026209991	0.0650548666307382	0	0.00353738146422862	0.0725992298853706	0.00102178383014707	0	0	0.0102676407566484	0.0209326854155013	0.0206207121092696	0.0222478600128367	0.000275172626914266	0	0	0	0	0	0	0	0	0	0.0328163280991636	0.00455365534965594	0.0408491700284882	0	0.0432588578197242	0	0.566202955119843	0.0176031646162427	0	0	0.047362142687735	0.0121386694385723	0	0	0	0.934327914499957	0.498132871024396
BCRF1_3&EN_11814_358_NL_S_S37_R1_001	0.0124167780109988	0.00266573058159983	0.0223808071277367	0.0133430440802871	0.00737020933991037	0.0765382271758527	0	0.000895086015915669	0.0142017318067449	0	0.00572079549859041	0.0485555676963371	0.00640803412558873	0	0.109864274136994	0.00769100399016632	0	0.000859628585213639	0	0	0.0202917867134373	0	0	0.00960010655816359	0	0	0	0.195424004742541	0.00353023614438563	0.0045830253964244	0.000411634616040671	0.32016734285321	0.0135921537083141	0	0	0.0918845812603486	0.00400384913860571	0.00760036069659289	0	0	0.625210836599438	0.892499263973516
BCRF1_3&EN_11816_358_EN_S_S39_R1_001	0.0641274981663535	0.003875641360202	0.00994338040063892	0.00404577900389742	0.00256880817767632	0.0759219733203013	0.0126498143734937	0.00096685334733166	0.0112862143964615	0	0.000612467457608229	0.0285322116160296	0.0151409980612788	0	0.133835303267523	0.0233885270235823	0	0	0.00130551375064191	0.00843033918582152	0.0230012029012842	0	0	0.0130131938222278	0	0	0	0.218111722085049	0	0.0094465086552131	0	0.241317343708176	0.00482506909980766	0	0	0.0801184062590844	0.0135352305603167	0	0	0	0.602746214706293	0.901886336312972
BCRF1_3&EN_11818_358_RS1_S_center_S41_R1_001	4.69484574230828e-05	0	0.0252785802962371	0.0016650970087691	0.0105917027396371	0.0626370027487321	0.00198151584321361	0.00327218827935903	0.0205998615962285	0	0.0129816312643668	0.0374457484223471	0.0152083722951511	0	0.123458925436073	0.0431759636295144	0	0	0.00505527280777048	0	0.0300369902076399	0	0.014360378123322	0	0	0	0.00209675446392184	0.183416248809501	0	0.0108990495565753	0.00477761567827101	0.235494242293305	0.00933618290896587	0	0	0.0994441077812337	0.0467396193524424	0	0	0	0.679842685028884	0.882545064194766
BCRF1_3&EN_11820_358_RS1_S_peripheral_S43_R1_001	0	0.00471071229395678	0.00901465983474009	0.0291974991591904	0	0.0319534730406205	0	0.000990260748690788	0.0450166382836556	0	0.00239713890640695	0.0538112611927996	0.0234460313791451	0	0.0866170178193652	0.0260186879528232	0	0.0209805017157554	0	0	0.0165086269080605	0	0.0109289764213154	0	0	0	0.00493685901269601	0.197388328373549	0.00790255839659928	0.0153888208864965	0.0118316077567168	0.275034326735108	0.00310157516198639	0	0	0.0813110665645454	0.0415133714557769	0	0	0	0.634608261628801	0.889615568835739
