ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0050907,detection of chemical stimulus involved in sensory perception,146,0.7880755222146287,2.0991683821318805,1e-10,3.2572e-8,2.4368820688387994e-8,734,"tags=2%, list=3%, signal=2%",PIGR/PIP/AZGP1,NA
GO:0098813,nuclear chromosome segregation,300,-0.7900307545024714,-1.9559462242895937,1e-10,3.2572e-8,2.4368820688387994e-8,2770,"tags=44%, list=12%, signal=39%",SMARCD2/CDC42/ZW10/CHMP4C/SMARCB1/CHMP5/SEH1L/RMDN1/HSPA1B/NAT9/CDC27/DYNC1I2/SPDL1/CHMP1A/MAD2L1BP/CHEK2/NCAPH2/MZT1/TPR/CHMP1B/FANCD2/TTL/BCCIP/MAD2L2/DYNC1H1/BAG6/KIF22/TENT4A/CENPQ/CCSAP/DYNLRB1/KNTC1/LSM14A/SMC3/DSN1/HORMAD1/MAPRE1/NCAPD3/WASHC5/KPNB1/ZWILCH/NSMCE2/PMF1/CENPI/CENPK/PSRC1/NEK6/HNRNPU/TUBG1/NUP62/NCAPD2/ACTB/PSMC3IP/FBXO5/RRS1/DDB1/SMC1A/KIF18A/SMARCA4/CHMP4B/GEN1/BUB3/DYNLL1/SKA2/SPC25/BAZ1B/DCAF13/RACGAP1/RCC1/PRICKLE1/SGO2/MND1/RHOA/ACTL6A/SMARCC1/ESPL1/ZWINT/RMI2/ANAPC11/RCC2/INCENP/SMC2/UHRF1/KNSTRN/SKA3/NCAPG2/NUSAP1/NCAPH/TACC3/SPC24/RAD21/CDT1/SKA1/CCNB1/KIF11/AURKB/KIF15/TTK/KIF18B/SPAG5/SGO1/TRIP13/MAD2L1/PRC1/ECT2/CENPE/BUB1B/BUB1/KNL1/CDC6/NCAPG/KIF23/CDCA8/NUF2/NDC80/SMC4/KIF14/PTTG1/KIF4A/PLK1/CENPA/DLGAP5/KIFC1/NEK2/TOP2A/CDK1/KIF2C/CDC20/UBE2C/TPX2/CENPF/BIRC5,NA
GO:0000819,sister chromatid segregation,239,-0.7944687397729804,-1.9477833814941747,1e-10,3.2572e-8,2.4368820688387994e-8,1421,"tags=35%, list=6%, signal=33%",MAPRE1/NCAPD3/KPNB1/ZWILCH/NSMCE2/CENPI/CENPK/PSRC1/NEK6/HNRNPU/TUBG1/NUP62/NCAPD2/ACTB/FBXO5/RRS1/SMC1A/KIF18A/SMARCA4/CHMP4B/GEN1/BUB3/DYNLL1/SKA2/SPC25/BAZ1B/RACGAP1/RCC1/PRICKLE1/RHOA/ACTL6A/SMARCC1/ESPL1/ZWINT/RMI2/ANAPC11/INCENP/SMC2/UHRF1/KNSTRN/SKA3/NCAPG2/NUSAP1/NCAPH/TACC3/SPC24/RAD21/CDT1/SKA1/CCNB1/KIF11/AURKB/KIF15/TTK/KIF18B/SPAG5/TRIP13/MAD2L1/PRC1/CENPE/BUB1B/BUB1/KNL1/CDC6/NCAPG/KIF23/CDCA8/NUF2/NDC80/SMC4/KIF14/KIF4A/PLK1/CENPA/DLGAP5/KIFC1/TOP2A/CDK1/KIF2C/CDC20/UBE2C/TPX2/CENPF/BIRC5,NA
GO:0007059,chromosome segregation,398,-0.7729623927078327,-1.9287821330677852,1e-10,3.2572e-8,2.4368820688387994e-8,2770,"tags=40%, list=12%, signal=36%",SMARCD2/CDC42/ZW10/CENPS/CHMP4C/SMARCB1/TOP1/CHMP5/SEH1L/RMDN1/HSPA1B/CSNK2A1/NAT9/CDC27/DYNC1I2/SPDL1/CHMP1A/MAD2L1BP/CHEK2/BRCA1/NCAPH2/MZT1/TPR/CHMP1B/FANCD2/TTL/HAUS8/BCCIP/CIAO2A/MAD2L2/DYNC1H1/BAG6/KIF22/TENT4A/CENPQ/CIAO2B/CENPH/CCSAP/HAUS7/DYNLRB1/KNTC1/LSM14A/SMC3/DSN1/HORMAD1/MAPRE1/NCAPD3/WASHC5/KPNB1/ZWILCH/NSMCE2/PMF1/PPP2R1A/CENPI/CENPK/PSRC1/NEK6/HNRNPU/TUBG1/NUP62/NCAPD2/ACTB/ARL8A/PSMC3IP/FBXO5/CCDC86/RRS1/DDB1/SMC1A/CENPX/KIF18A/SMARCA4/CHMP4B/GEN1/BUB3/DYNLL1/SKA2/SPC25/BAZ1B/SMC6/DCAF13/RACGAP1/GPSM2/RCC1/PRICKLE1/SGO2/SLC25A5/MND1/RHOA/ACTL6A/SMARCC1/ESPL1/ZWINT/RMI2/ANAPC11/RCC2/INCENP/SMC2/CENPO/UHRF1/CENPM/CENPN/KNSTRN/SRPK1/CENPL/SKA3/SAC3D1/NCAPG2/NUSAP1/CENPW/STIL/NCAPH/TACC3/SPC24/RAD21/CDT1/SKA1/CCNB1/KIF11/AURKB/KIF15/TTK/KIF18B/SPAG5/SGO1/CENPU/CDCA2/TRIP13/MAD2L1/PRC1/ECT2/CENPE/BUB1B/BUB1/KNL1/CDC6/NCAPG/KIF23/CDCA8/NUF2/NDC80/SMC4/KIF14/PTTG1/KIF4A/PLK1/CENPA/MKI67/DLGAP5/KIFC1/NEK2/TOP2A/CDK1/KIF2C/CDC20/UBE2C/HJURP/TPX2/CENPF/BIRC5,NA
GO:0006936,muscle contraction,346,0.6617476856615933,1.9245594474392773,1e-10,3.2572e-8,2.4368820688387994e-8,1678,"tags=21%, list=7%, signal=20%",MYH11/CNN1/OXTR/LMOD1/MYLK/DMD/ACTA2/KIT/RPL34/UTRN/SYNM/EDNRB/EDN3/SCN4B/KCND3/MYL9/CAV1/CACNB4/PPP1R12B/CACNA2D1/NEDD4L/SCN2A/TPM1/ATP2B1/SSPN/ITGA2/NOS1AP/RPL12/TPM2/RPL13/EEF2/CACNA1C/KCNMA1/RYR3/SCN3A/PTGER3/RPL41/MYOF/GPD1L/GSN/PRKG1/ANK2/RPL15/GAMT/RPL31/RPL11/RPL13A/CACNA2D2/STAC2/RPL32/GSTM2/TNNI2/GJA1/RPL7A/KCNJ2/RPL5/SCN2B/PDE4B/PRKD1/ABAT/RPL19/ADRA2A/STC1/JPH2/RPL23/EHD3/RPL18/FKBP1B/HTR2A/RCSD1/RGS2/RNF207/APBB1,NA
GO:0000070,mitotic sister chromatid segregation,200,-0.8065900669054005,-1.9229952833052706,1e-10,3.2572e-8,2.4368820688387994e-8,2627,"tags=50%, list=12%, signal=44%",CHMP5/SEH1L/RMDN1/HSPA1B/NAT9/DYNC1I2/SPDL1/CHMP1A/MAD2L1BP/CHEK2/NCAPH2/MZT1/TPR/CHMP1B/BCCIP/MAD2L2/DYNC1H1/KIF22/TENT4A/CCSAP/DYNLRB1/KNTC1/LSM14A/SMC3/MAPRE1/NCAPD3/KPNB1/ZWILCH/NSMCE2/CENPI/CENPK/PSRC1/HNRNPU/TUBG1/NUP62/NCAPD2/FBXO5/RRS1/SMC1A/KIF18A/CHMP4B/GEN1/BUB3/DYNLL1/SKA2/SPC25/BAZ1B/RACGAP1/RCC1/PRICKLE1/RHOA/ESPL1/ZWINT/ANAPC11/INCENP/SMC2/UHRF1/KNSTRN/SKA3/NCAPG2/NUSAP1/NCAPH/SPC24/RAD21/CDT1/SKA1/CCNB1/KIF11/AURKB/KIF15/TTK/KIF18B/SPAG5/TRIP13/MAD2L1/PRC1/CENPE/BUB1B/BUB1/KNL1/NCAPG/KIF23/CDCA8/NUF2/NDC80/SMC4/KIF14/KIF4A/PLK1/CENPA/DLGAP5/KIFC1/CDK1/KIF2C/CDC20/UBE2C/TPX2/CENPF/BIRC5,NA
GO:0051321,meiotic cell cycle,254,-0.7852708148922094,-1.9196717230491673,1e-10,3.2572e-8,2.4368820688387994e-8,1658,"tags=30%, list=7%, signal=28%",STK35/SWI5/SMC3/PSMB7/LSM14B/NBN/HORMAD1/CDK2/PSMA3/NCAPD3/WASHC5/PSMA2/RMI1/KLHDC3/PSMB6/TUBG1/PSMA5/CDC25C/PSMB1/NCAPD2/PSMB3/PSMC3IP/FBXO5/PSMA1/RAD54B/CDC25B/OSGIN2/NSUN2/BRIP1/DDB1/SMC1A/PSMB5/CENPX/EME1/BRCA2/BUB3/CDC25A/SKA2/DCAF13/MSH6/SGO2/MND1/MYBL1/ESPL1/ZWINT/ANAPC11/PSMA4/SMC1B/INCENP/XRCC2/SKA3/RAD51/NCAPH/H2AX/PSMB2/RAD54L/RAD21/SKA1/EXO1/TTK/RAD51AP1/SGO1/CDCA2/TRIP13/PSMB4/KNL1/PKMYT1/NUF2/NDC80/SMC4/PTTG1/MKI67/NEK2/AURKA/TOP2A/CDC20/ASPM,NA
GO:0006939,smooth muscle contraction,77,0.7739633384942327,1.9195249613744707,1.7993985440006385e-5,0.001135852894868,8.497910942964727e-4,1678,"tags=22%, list=7%, signal=21%",MYH11/CNN1/MYLK/KIT/EDNRB/EDN3/CAV1/ATP2B1/ITGA2/KCNMA1/PTGER3/PRKG1/ABAT/ADRA2A/HTR2A/RGS2/APBB1,0.5756102610711286
GO:1903046,meiotic cell cycle process,171,-0.8067152266491425,-1.8973212983880792,1e-10,3.2572e-8,2.4368820688387994e-8,1658,"tags=29%, list=7%, signal=27%",STK35/SWI5/LSM14B/HORMAD1/NCAPD3/WASHC5/RMI1/KLHDC3/TUBG1/CDC25C/NCAPD2/PSMC3IP/FBXO5/RAD54B/CDC25B/NSUN2/BRIP1/DDB1/CENPX/EME1/BRCA2/CDC25A/SKA2/DCAF13/MSH6/SGO2/MND1/MYBL1/ESPL1/ZWINT/INCENP/SKA3/RAD51/NCAPH/RAD54L/RAD21/SKA1/TTK/RAD51AP1/SGO1/TRIP13/KNL1/PKMYT1/NUF2/NDC80/SMC4/PTTG1/AURKA/TOP2A/CDC20,NA
GO:0051983,regulation of chromosome segregation,132,-0.817445453578834,-1.8881802145188797,1e-10,3.2572e-8,2.4368820688387994e-8,1263,"tags=39%, list=6%, signal=37%",ZWILCH/NSMCE2/NEK6/HNRNPU/ACTB/FBXO5/SMARCA4/GEN1/BUB3/DYNLL1/SPC25/SMC6/ACTL6A/SMARCC1/ESPL1/ZWINT/RMI2/ANAPC11/RCC2/INCENP/SMC2/SKA3/NCAPG2/NCAPH/TACC3/SPC24/RAD21/SKA1/CCNB1/AURKB/TTK/TRIP13/MAD2L1/CENPE/BUB1B/BUB1/KNL1/CDC6/NCAPG/CDCA8/NUF2/NDC80/SMC4/PLK1/DLGAP5/CDK1/KIF2C/CDC20/UBE2C/CENPF/BIRC5,NA
