ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0050907,detection of chemical stimulus involved in sensory perception,146,-0.7883087744044497,-2.089905320431032,1e-10,3.2572e-8,2.422527544281978e-8,735,"tags=2%, list=3%, signal=2%",AZGP1/PIP/PIGR,NA
GO:0098813,nuclear chromosome segregation,300,0.7901015006188813,1.9389244611496894,1e-10,3.2572e-8,2.422527544281978e-8,2768,"tags=44%, list=12%, signal=39%",BIRC5/CENPF/TPX2/UBE2C/CDC20/KIF2C/CDK1/TOP2A/NEK2/KIFC1/DLGAP5/CENPA/PLK1/KIF4A/PTTG1/KIF14/SMC4/NDC80/NUF2/CDCA8/KIF23/NCAPG/CDC6/KNL1/BUB1/BUB1B/CENPE/ECT2/PRC1/MAD2L1/TRIP13/SGO1/SPAG5/KIF18B/TTK/KIF15/AURKB/KIF11/CCNB1/SKA1/CDT1/RAD21/SPC24/TACC3/NCAPH/NUSAP1/NCAPG2/SKA3/KNSTRN/UHRF1/SMC2/INCENP/RCC2/ANAPC11/RMI2/ZWINT/ESPL1/SMARCC1/ACTL6A/RHOA/MND1/SGO2/PRICKLE1/RCC1/RACGAP1/DCAF13/BAZ1B/SPC25/SKA2/DYNLL1/BUB3/GEN1/CHMP4B/SMARCA4/KIF18A/SMC1A/DDB1/RRS1/FBXO5/PSMC3IP/ACTB/NCAPD2/NUP62/TUBG1/HNRNPU/NEK6/PSRC1/CENPK/CENPI/PMF1/NSMCE2/ZWILCH/KPNB1/WASHC5/NCAPD3/MAPRE1/HORMAD1/DSN1/SMC3/LSM14A/KNTC1/DYNLRB1/CCSAP/CENPQ/TENT4A/KIF22/BAG6/DYNC1H1/MAD2L2/BCCIP/TTL/FANCD2/CHMP1B/TPR/MZT1/NCAPH2/CHEK2/MAD2L1BP/SPDL1/CHMP1A/DYNC1I2/CDC27/NAT9/HSPA1B/RMDN1/SEH1L/CHMP5/ZW10/SMARCB1/CHMP4C/CDC42/SMARCD2,NA
GO:0007059,chromosome segregation,398,0.7730313529499799,1.9383764357231132,1e-10,3.2572e-8,2.422527544281978e-8,2768,"tags=40%, list=12%, signal=36%",BIRC5/CENPF/TPX2/HJURP/UBE2C/CDC20/KIF2C/CDK1/TOP2A/NEK2/KIFC1/DLGAP5/MKI67/CENPA/PLK1/KIF4A/PTTG1/KIF14/SMC4/NDC80/NUF2/CDCA8/KIF23/NCAPG/CDC6/KNL1/BUB1/BUB1B/CENPE/ECT2/PRC1/MAD2L1/TRIP13/CDCA2/CENPU/SGO1/SPAG5/KIF18B/TTK/KIF15/AURKB/KIF11/CCNB1/SKA1/CDT1/RAD21/SPC24/TACC3/NCAPH/STIL/CENPW/NUSAP1/NCAPG2/SAC3D1/SKA3/CENPL/SRPK1/KNSTRN/CENPN/CENPM/UHRF1/CENPO/SMC2/INCENP/RCC2/ANAPC11/RMI2/ZWINT/ESPL1/SMARCC1/ACTL6A/RHOA/MND1/SLC25A5/SGO2/PRICKLE1/RCC1/RACGAP1/GPSM2/DCAF13/SMC6/BAZ1B/SPC25/SKA2/DYNLL1/BUB3/GEN1/CHMP4B/SMARCA4/KIF18A/CENPX/SMC1A/DDB1/RRS1/CCDC86/FBXO5/PSMC3IP/ARL8A/ACTB/NCAPD2/NUP62/TUBG1/HNRNPU/NEK6/PSRC1/CENPK/CENPI/PPP2R1A/PMF1/NSMCE2/ZWILCH/KPNB1/WASHC5/NCAPD3/MAPRE1/HORMAD1/DSN1/SMC3/LSM14A/KNTC1/DYNLRB1/HAUS7/CCSAP/CENPH/CIAO2B/CENPQ/TENT4A/KIF22/BAG6/DYNC1H1/MAD2L2/CIAO2A/BCCIP/HAUS8/TTL/FANCD2/CHMP1B/TPR/MZT1/NCAPH2/BRCA1/CHEK2/MAD2L1BP/SPDL1/CHMP1A/DYNC1I2/CDC27/NAT9/CSNK2A1/HSPA1B/RMDN1/SEH1L/CHMP5/TOP1/ZW10/SMARCB1/CHMP4C/CENPS/CDC42/SMARCD2,NA
GO:0000070,mitotic sister chromatid segregation,200,0.8065793369970061,1.9315580166001,1e-10,3.2572e-8,2.422527544281978e-8,2626,"tags=50%, list=12%, signal=44%",BIRC5/CENPF/TPX2/UBE2C/CDC20/KIF2C/CDK1/KIFC1/DLGAP5/CENPA/PLK1/KIF4A/KIF14/SMC4/NDC80/NUF2/CDCA8/KIF23/NCAPG/KNL1/BUB1/BUB1B/CENPE/PRC1/MAD2L1/TRIP13/SPAG5/KIF18B/TTK/KIF15/AURKB/KIF11/CCNB1/SKA1/CDT1/RAD21/SPC24/NCAPH/NUSAP1/NCAPG2/SKA3/KNSTRN/UHRF1/SMC2/INCENP/ANAPC11/ZWINT/ESPL1/RHOA/PRICKLE1/RCC1/RACGAP1/BAZ1B/SPC25/SKA2/DYNLL1/BUB3/GEN1/CHMP4B/KIF18A/SMC1A/RRS1/FBXO5/NCAPD2/NUP62/TUBG1/HNRNPU/PSRC1/CENPK/CENPI/NSMCE2/ZWILCH/KPNB1/NCAPD3/MAPRE1/SMC3/LSM14A/KNTC1/DYNLRB1/CCSAP/TENT4A/KIF22/DYNC1H1/MAD2L2/BCCIP/CHMP1B/TPR/MZT1/NCAPH2/CHEK2/MAD2L1BP/SPDL1/CHMP1A/DYNC1I2/NAT9/HSPA1B/RMDN1/SEH1L/CHMP5,NA
GO:0000819,sister chromatid segregation,239,0.794462093012235,1.9224277248062973,1e-10,3.2572e-8,2.422527544281978e-8,1420,"tags=35%, list=6%, signal=33%",BIRC5/CENPF/TPX2/UBE2C/CDC20/KIF2C/CDK1/TOP2A/KIFC1/DLGAP5/CENPA/PLK1/KIF4A/KIF14/SMC4/NDC80/NUF2/CDCA8/KIF23/NCAPG/CDC6/KNL1/BUB1/BUB1B/CENPE/PRC1/MAD2L1/TRIP13/SPAG5/KIF18B/TTK/KIF15/AURKB/KIF11/CCNB1/SKA1/CDT1/RAD21/SPC24/TACC3/NCAPH/NUSAP1/NCAPG2/SKA3/KNSTRN/UHRF1/SMC2/INCENP/ANAPC11/RMI2/ZWINT/ESPL1/SMARCC1/ACTL6A/RHOA/PRICKLE1/RCC1/RACGAP1/BAZ1B/SPC25/SKA2/DYNLL1/BUB3/GEN1/CHMP4B/SMARCA4/KIF18A/SMC1A/RRS1/FBXO5/ACTB/NCAPD2/NUP62/TUBG1/HNRNPU/NEK6/PSRC1/CENPK/CENPI/NSMCE2/ZWILCH/KPNB1/NCAPD3/MAPRE1,NA
GO:0006936,muscle contraction,346,-0.6619017244685268,-1.9191584421147863,1e-10,3.2572e-8,2.422527544281978e-8,1679,"tags=21%, list=7%, signal=20%",APBB1/RNF207/RGS2/RCSD1/HTR2A/FKBP1B/RPL18/EHD3/RPL23/JPH2/STC1/ADRA2A/RPL19/ABAT/PRKD1/PDE4B/SCN2B/RPL5/KCNJ2/RPL7A/GJA1/TNNI2/GSTM2/RPL32/STAC2/CACNA2D2/RPL13A/RPL11/RPL31/GAMT/RPL15/ANK2/PRKG1/GSN/GPD1L/MYOF/RPL41/PTGER3/SCN3A/RYR3/KCNMA1/CACNA1C/EEF2/RPL13/TPM2/RPL12/NOS1AP/ITGA2/SSPN/ATP2B1/TPM1/SCN2A/NEDD4L/CACNA2D1/PPP1R12B/CACNB4/CAV1/MYL9/KCND3/SCN4B/EDN3/EDNRB/SYNM/UTRN/RPL34/KIT/ACTA2/DMD/MYLK/LMOD1/OXTR/CNN1/MYH11,NA
GO:0051321,meiotic cell cycle,254,0.785251669264765,1.9078125410379356,1e-10,3.2572e-8,2.422527544281978e-8,1658,"tags=30%, list=7%, signal=28%",ASPM/CDC20/TOP2A/AURKA/NEK2/MKI67/PTTG1/SMC4/NDC80/NUF2/PKMYT1/KNL1/PSMB4/TRIP13/CDCA2/SGO1/RAD51AP1/TTK/EXO1/SKA1/RAD21/RAD54L/PSMB2/H2AX/NCAPH/RAD51/SKA3/XRCC2/INCENP/SMC1B/PSMA4/ANAPC11/ZWINT/ESPL1/MYBL1/MND1/SGO2/MSH6/DCAF13/SKA2/CDC25A/BUB3/EME1/BRCA2/CENPX/PSMB5/SMC1A/DDB1/BRIP1/NSUN2/OSGIN2/CDC25B/RAD54B/PSMA1/FBXO5/PSMC3IP/PSMB3/NCAPD2/PSMB1/CDC25C/PSMA5/TUBG1/PSMB6/KLHDC3/RMI1/PSMA2/WASHC5/NCAPD3/PSMA3/CDK2/HORMAD1/NBN/LSM14B/PSMB7/SMC3/SWI5/STK35,NA
GO:1903046,meiotic cell cycle process,171,0.8067415060068954,1.8920907556953894,1e-10,3.2572e-8,2.422527544281978e-8,1658,"tags=29%, list=7%, signal=27%",CDC20/TOP2A/AURKA/PTTG1/SMC4/NDC80/NUF2/PKMYT1/KNL1/TRIP13/SGO1/RAD51AP1/TTK/SKA1/RAD21/RAD54L/NCAPH/RAD51/SKA3/INCENP/ZWINT/ESPL1/MYBL1/MND1/SGO2/MSH6/DCAF13/SKA2/CDC25A/EME1/BRCA2/CENPX/DDB1/BRIP1/NSUN2/CDC25B/RAD54B/FBXO5/PSMC3IP/NCAPD2/CDC25C/TUBG1/KLHDC3/RMI1/WASHC5/NCAPD3/HORMAD1/LSM14B/SWI5/STK35,NA
GO:0051983,regulation of chromosome segregation,132,0.8174036135645913,1.886265821423726,1e-10,3.2572e-8,2.422527544281978e-8,1262,"tags=39%, list=6%, signal=37%",BIRC5/CENPF/UBE2C/CDC20/KIF2C/CDK1/DLGAP5/PLK1/SMC4/NDC80/NUF2/CDCA8/NCAPG/CDC6/KNL1/BUB1/BUB1B/CENPE/MAD2L1/TRIP13/TTK/AURKB/CCNB1/SKA1/RAD21/SPC24/TACC3/NCAPH/NCAPG2/SKA3/SMC2/INCENP/RCC2/ANAPC11/RMI2/ZWINT/ESPL1/SMARCC1/ACTL6A/SMC6/SPC25/DYNLL1/BUB3/GEN1/SMARCA4/FBXO5/ACTB/HNRNPU/NEK6/NSMCE2/ZWILCH,NA
GO:0006939,smooth muscle contraction,77,-0.7739189914493219,-1.880093866924434,1.1749262595014522e-5,7.715664944451875e-4,5.738490375287224e-4,1679,"tags=22%, list=7%, signal=21%",APBB1/RGS2/HTR2A/ADRA2A/ABAT/PRKG1/PTGER3/KCNMA1/ITGA2/ATP2B1/CAV1/EDN3/EDNRB/KIT/MYLK/CNN1/MYH11,0.5933254763964051
