ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
HALLMARK_E2F_TARGETS, E2f Targets,200,0.8729995185849684,2.0861499588512813,1e-10,1.25e-9,7.905832818322727e-10,1645,"tags=66%, list=7%, signal=61%",BIRC5/RRM2/MYBL2/TK1/CDC20/KIF2C/TUBB/CDK1/DEPDC1/TOP2A/H2AZ1/AURKA/DLGAP5/MKI67/ATAD2/PLK1/KIF4A/CCNB2/UBE2T/PTTG1/SMC4/MELK/HMGA1/CDKN3/DIAPH3/CDCA8/JPT1/MCM4/STMN1/PRKDC/KPNA2/BUB1B/CENPE/ORC6/MAD2L1/CDCA3/TRIP13/MTHFD2/HMGB3/HMMR/CKS2/RAD51AP1/SPAG5/CDKN2A/KIF18B/DSCC1/PCNA/EZH2/AURKB/LMNB1/MCM2/RAD21/CHEK1/CCNE1/NME1/SPC24/RANBP1/MCM3/ASF1B/H2AX/TACC3/TFRC/PRDX4/HMGB2/CIT/CENPM/SNRPB/USP1/DONSON/GINS1/RFC2/ESPL1/DEK/LBR/CTPS1/SSRP1/SYNCRIP/RACGAP1/DDX39A/SMC6/TIMELESS/E2F8/SPC25/MCM6/CDC25A/NOP56/PAICS/GINS4/BRCA2/TMPO/TCF19/SMC1A/DCTPP1/DNMT1/CKS1B/MSH2/NUP205/CSE1L/GINS3/CDC25B/PSMC3IP/CDK4/HELLS/PHF5A/NCAPD2/MCM7/POP7/TUBG1/PRPS1/MCM5/POLA2/XPO1/ANP32E/ASF1A/UNG/POLD1/XRCC6/CDKN2C/AK2/NBN/PLK4/RFC3/CNOT9/GSPT1/RNASEH2A/NASP/SLBP/BARD1/DCLRE1B/ILF3/SMC3,NA
HALLMARK_G2M_CHECKPOINT, G2m Checkpoint,199,0.8282396719108694,1.9832218387849483,1e-10,1.25e-9,7.905832818322727e-10,1951,"tags=60%, list=9%, signal=56%",BIRC5/CENPF/TPX2/MYBL2/UBE2C/CDC20/KIF2C/CDK1/TOP2A/H2AZ1/AURKA/NEK2/MKI67/CENPA/PLK1/KIF4A/CCNB2/PTTG1/SMC4/NDC80/HMGA1/SLC7A5/CDKN3/CCNA2/JPT1/KIF23/PBK/E2F1/CDC6/KNL1/STMN1/BUB1/KPNA2/CENPE/PRC1/ORC6/MAD2L1/CDC45/HMGB3/SQLE/HMMR/CKS2/TTK/EZH2/KIF15/AURKB/EXO1/LMNB1/KIF11/MCM2/RAD21/CHEK1/RAD54L/TROAP/MCM3/E2F3/H2AX/TACC3/STIL/NUSAP1/E2F2/SNRPD1/SMC2/INCENP/CCNF/POLQ/ESPL1/LBR/SMARCC1/DKC1/SYNCRIP/DBF4/RACGAP1/DDX39A/NCL/MCM6/RAD23B/CDC25A/BUB3/CDC7/BRCA2/TMPO/SMC1A/SAP30/CKS1B/KIF5B/CHAF1A/CDC25B/FBXO5/CDK4/GINS2/TRAIP/HNRNPU/MCM5/POLA2/H2AZ2/KIF20B/XPO1/HOXC10/RBL1/KPNB1/TFDP1/CDKN2C/PLK4/NSD2/GSPT1/TNPO2/HSPA8/NASP/BARD1/ILF3/FANCC/ATF5/SLC7A1/POLE/CBX1/TENT4A/DTYMK/SRSF2/KIF22,NA
HALLMARK_MYC_TARGETS_V1, Myc Targets V1,199,0.8137750166225908,1.94858618773961,1e-10,1.25e-9,7.905832818322727e-10,2650,"tags=66%, list=12%, signal=59%",HDGF/PSMA7/CDC20/H2AZ1/PGK1/TYMS/CCNA2/MCM4/KPNA2/CCT3/MAD2L1/CDC45/EPRS1/PCNA/PSMD8/SSBP1/MCM2/HSP90AB1/NME1/PSMB2/RANBP1/CCT5/CBX3/PRDX4/PSMD7/SRPK1/HSPE1/PABPC1/RFC4/SNRPD1/PCBP1/USP1/ILF2/PSMA4/PPM1G/ACP1/SSB/DEK/CTPS1/SMARCC1/CYC1/PSMD1/PSMD14/SYNCRIP/HSPD1/EIF2S2/LDHA/LSM2/GLO1/MCM6/RAD23B/BUB3/NOP56/PSMC4/HDAC2/NDUFAB1/SNRPG/RRM1/ERH/VBP1/AIMP2/PSMD3/MRPL9/PSMA1/PSMB3/CDK4/PABPC4/XPOT/TXNL4A/SNRPB2/SNRPD3/MCM7/HNRNPA2B1/STARD7/HNRNPU/MCM5/LSM7/PRPS2/TCP1/SET/PTGES3/XPO1/TUFM/YWHAQ/PSMA2/EIF4G2/KPNB1/DDX21/NCBP1/YWHAE/POLE3/TFDP1/XRCC6/COX5A/CDK2/UBA2/HNRNPR/NOP16/VDAC1/GSPT1/COPS5/SNRPD2/EIF3B/NHP2/SRSF3/MRPL23/CCT7/TOMM70/HNRNPC/HPRT1/NCBP2/SRSF2/CLNS1A/CAD/UBE2L3/VDAC3/CCT2/TRIM28/SERBP1/RPS10/PPIA/CANX/RNPS1/SNRPA/SF3B3/PWP1/SLC25A3/C1QBP/NOLC1/RUVBL2/ODC1,NA
HALLMARK_MTORC1_SIGNALING, Mtorc1 Signaling,197,0.7791826477493504,1.8783187464087898,1e-10,1.25e-9,7.905832818322727e-10,2404,"tags=54%, list=11%, signal=49%",RRM2/SCD/FADS2/AURKA/CALR/PGK1/PLK1/SLC7A5/GPI/MCM4/BUB1/ACTR2/MTHFD2/ME1/SQLE/RPN1/EPRS1/PRDX1/DHCR7/GAPDH/PNP/MCM2/SERPINH1/TFRC/YKT6/HSPE1/IDI1/TPI1/SRD5A1/PSMA4/CCNF/SERP1/UCHL5/PSMD14/STIP1/HMGCS1/SHMT2/HSPD1/SLC2A1/EIF2S2/LDHA/DDX39A/CCT6A/EBP/G6PD/CDC25A/HSPA5/FADS1/PSMC4/INSIG1/SSR1/PDK1/PDAP1/PSMB5/SDF2L1/WARS1/RAB1A/ACLY/TXNRD1/NUP205/IMMT/PSMC2/CACYBP/DDIT4/ARPC5L/ENO1/MLLT11/HSP90B1/TUBG1/PSAT1/BCAT1/TOMM40/RIT1/PLOD2/PSMG1/PFKL/P4HA1/UNG/PSMA3/PNO1/COPS5/TCEA1/TMEM97/TUBA4A/VLDLR/HK2/NFKBIB/PIK3R3/PSPH/ERO1A/HPRT1/CD9/ABCF2/ATP5MC1/GSK3B/HSPA9/LGMN/PHGDH/PSMD12/IDH1/PPIA/SQSTM1/GSR/CANX/EEF1E1/PPA1,NA
HALLMARK_ESTROGEN_RESPONSE_EARLY, Estrogen Response Early,198,-0.6607281464945928,-1.8428879079309632,9.676088800269143e-7,8.06340733355762e-6,5.099836026011518e-6,1654,"tags=29%, list=7%, signal=27%",TPBG/ADD3/RETREG1/CELSR1/CELSR2/TFAP2C/TUBB2B/KDM4B/ABAT/SYBU/NPY1R/SLC22A5/KLF10/GJA1/MPPED2/BHLHE40/HES1/SEC14L2/INHBB/DLC1/ELOVL2/FHL2/MYOF/CHPT1/PRSS23/HSPB8/ADCY1/SCNN1A/MYB/SLC39A6/IGF1R/GREB1/RBBP8/MLPH/AR/NAV2/BCL2/LRIG1/MAST4/MED13L/CXCL12/IGFBP4/PDLIM3/MAPT/SLC7A2/EGR3/IL6ST/THSD4/XBP1/AREG/TFF1/TFF3/FOS/KRT15/CA12/GFRA1/STC2/PGR,0.6435518361507222
HALLMARK_MITOTIC_SPINDLE, Mitotic Spindle,197,0.7232285036369129,1.743434174570302,9.466689506902313e-8,9.466689506902313e-7,5.987365166763176e-7,2501,"tags=35%, list=11%, signal=31%",BIRC5/CENPF/TPX2/KIF2C/CDK1/TOP2A/AURKA/NEK2/DLGAP5/ANLN/PLK1/KIF4A/CCNB2/SMC4/NDC80/KIF23/BUB1/CENPE/ECT2/PRC1/TTK/KIF15/LMNB1/KIF11/NUSAP1/SAC3D1/INCENP/PIF1/ESPL1/NET1/RACGAP1/CKAP5/STK38L/LRPPRC/BRCA2/RANBP9/SMC1A/STAU1/EZR/KIF5B/ARHGEF11/FBXO5/ARL8A/MID1IP1/ARHGDIA/KIF20B/SEPTIN9/YWHAE/MAPRE1/ACTN4/CTTN/SMC3/TUBA4A/KNTC1/ARHGEF2/KIF22/NCK2/DYNC1H1/TBCD/PCNT/CEP72/CEP250/NCK1/RALBP1/KIF3C/WASL/ABI1/CDC27,0.7049757151672383
HALLMARK_KRAS_SIGNALING_DN, Kras Signaling Dn,181,-0.6302520795749464,-1.7237371325269022,2.693384489000436e-5,1.496324716111353e-4,9.463754438000457e-5,1461,"tags=14%, list=6%, signal=13%",NR4A2/GPRC5C/CELSR2/ATP6V1B1/SGK1/IDUA/SOX10/SLC16A7/IGFBP2/GAMT/SIDT1/CLDN8/TENT5C/KRT5/CPB1/DLK2/SELENOP/THRB/EGF/BTG2/KCNMB1/TFAP2B/TENM2/KRT15/ZBTB16,0.5756102610711286
HALLMARK_OXIDATIVE_PHOSPHORYLATION, Oxidative Phosphorylation,196,0.7026879201459457,1.6825661958084561,1.9136801106576335e-6,1.3669143647554525e-5,8.645277155776334e-6,3161,"tags=56%, list=14%, signal=48%",GPI/UQCR10/UQCRH/ATP5MC3/ATP5F1E/MDH2/COX8A/COX6B1/COX6C/FH/MRPL15/TIMM17A/ATP5MF/CYCS/POR/CYC1/SLC25A5/COX6A1/COX7A2/IDH2/UQCRB/LDHA/NDUFA6/COX7B/AIFM1/ATP6V1F/NDUFB2/NDUFB3/ATP5F1C/NDUFB4/ATP6V0B/NDUFA1/LRPPRC/DLD/NDUFAB1/IMMT/MRPS12/MGST3/ATP5PF/COX5B/ATP5MG/NDUFS6/MDH1/TOMM22/PDHA1/COX7A2L/MRPS15/NDUFB7/UQCRFS1/COX17/NDUFA9/ATP6AP1/NDUFB5/ATP5PD/NDUFS2/COX5A/HSD17B10/TIMM10/POLR2F/VDAC1/DECR1/TIMM8B/MTX2/ATP6V1C1/AFG3L2/TIMM13/ACO2/TOMM70/ATP5PO/NDUFC2/OPA1/CS/SDHC/UQCRC1/SDHB/NDUFA8/ATP5MC1/BAX/NDUFV2/VDAC3/HSPA9/MRPL35/MRPL34/NDUFS8/DLAT/ATP5F1B/MRPL11/ACADM/HCCS/IDH1/PHYH/TIMM50/ATP5F1A/NDUFS1/ALAS1/PDHX/SLC25A3/MRPS11/NDUFB6/NDUFA3/PDHB/UQCRQ/RETSAT/UQCR11/ATP6V1E1/NDUFS3/ECHS1/NDUFA7/HTRA2,0.6272567397185284
HALLMARK_MYC_TARGETS_V2, Myc Targets V2,57,0.7979817193464844,1.671615000948614,7.457326269653559e-5,3.3896937589334363e-4,2.1438681730751746e-4,3919,"tags=74%, list=17%, signal=61%",PLK1/MCM4/CBX3/HSPE1/HSPD1/BYSL/NOP56/DCTPP1/AIMP2/SLC19A1/CDK4/TFB2M/MCM5/UNG/IMP4/PES1/PLK4/NOP16/TMEM97/HK2/MPHOSPH10/NIP7/PPAN/TBRG4/FARSA/NOLC1/DDX18/SRM/WDR43/NDUFAF4/SLC29A2/TCOF1/PA2G4/NPM1/MRTO4/WDR74/PPRC1/PUS1/GRWD1/RRP12/RRP9/EXOSC5,0.5384340963099162
HALLMARK_DNA_REPAIR, Dna Repair,148,0.711481212332669,1.6500227393805054,1.012457437423095e-5,6.327858983894343e-5,4.002159617967216e-5,3381,"tags=44%, list=15%, signal=38%",TYMS/ARL6IP1/GUK1/PCNA/PNP/ALYREF/NME1/RAD51/SAC3D1/SEC61A1/FEN1/RFC4/POLR2K/TMED2/RFC2/ZWINT/SSRP1/MPC2/ADRM1/DDB1/TAF13/RFC5/RBX1/POLA2/RALA/POLR2G/COX17/NME4/CMPK2/POLR2J/POLD1/ZNF707/POLR2F/SDCBP/RFC3/NELFE/UMPS/BCAP31/POLR3C/POLR2I/DGUOK/HPRT1/NCBP2/POLR2D/POLR2H/VPS28/CANT1/SUPT5H/CSTF3/DAD1/CETN2/POLH/RPA3/POLD3/TAF6/NELFB/SF3A3/MPG/TAF12/ADA/POLA1/ERCC3/APRT/CLP1/NUDT21,0.5933254763964051
