ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
HALLMARK_E2F_TARGETS, E2f Targets,200,0.7839784211312626,2.0065980377317603,1e-10,2.5e-9,1.5789473684210525e-9,1951,"tags=46%, list=10%, signal=42%",MKI67/TOP2A/BIRC5/PTTG1/JPT1/RRM2/TK1/CKS2/UBE2T/MAD2L1/CCNB2/HMGA1/SMC4/HMGB3/ORC6/HMMR/DIAPH3/CHEK1/MYBL2/DLGAP5/MELK/ASF1B/CDK1/TUBB/H2AZ1/CENPE/KIF2C/EZH2/PLK1/BUB1B/SPC24/STMN1/ATAD2/KPNA2/CDC20/RAD51AP1/CDCA8/CDKN2A/LMNB1/NME1/CDCA3/KIF4A/SPAG5/AURKA/MCM2/DCK/PCNA/DEPDC1/NCAPD2/MTHFD2/MCM4/TACC3/H2AX/CENPM/CDKN3/GINS4/SNRPB/POP7/GINS1/BARD1/SMC6/TFRC/DNMT1/CIT/RANBP1/POLA2/AURKB/DCLRE1B/PSMC3IP/RPA3/DEK/POLD1/HMGB2/TRIP13/TCF19/KIF18B/MCM7/MCM6/DSCC1/CTPS1/CNOT9/ANP32E/NBN/PRIM2/PRKDC/RAD21/TIMELESS/DCTPP1/HELLS/CCNE1/NAA38,NA
HALLMARK_ALLOGRAFT_REJECTION, Allograft Rejection,194,0.7561104469058586,1.9540334165508442,1e-10,2.5e-9,1.5789473684210525e-9,1971,"tags=44%, list=10%, signal=40%",MMP9/INHBA/CXCL13/CAPG/HLA-A/CXCL9/B2M/HLA-DRA/STAT1/ITGB2/IGSF6/HLA-DQA1/FYB1/CCL22/CD74/THY1/TAP1/IL18/CCL11/TAPBP/GALNT1/CDKN2A/HLA-DMB/NME1/CTSS/BCAT1/WARS1/TIMP1/CD86/TGFB1/HIF1A/CCR5/TLR2/SPI1/GCNT1/TLR1/CD2/IL2RA/CD7/KLRD1/LYN/FLNA/CD247/RIPK2/IL2RG/CCL5/CD4/ABI1/IL2RB/WAS/SRGN/ST8SIA4/LCP2/HLA-DOA/C2/LTB/TAP2/PTPRC/IRF8/CD3G/CSK/EIF3J/TPD52/LY86/TRAF2/SIT1/HLA-DOB/IRF7/CXCR3/IL4R/LCK/HLA-DMA/AKT1/GZMB/IL11/SOCS1/CD8A/GPR65/CCR1/HCLS1/GBP2/GZMA/FCGR2B/ITGAL/MRPL3/ICAM1,NA
HALLMARK_G2M_CHECKPOINT, G2m Checkpoint,198,0.7144717648087181,1.8552763399809455,2.2579032389503896e-8,2.822379048687987e-7,1.7825551886450443e-7,2466,"tags=45%, list=12%, signal=40%",MKI67/TOP2A/UBE2C/BIRC5/CENPF/PTTG1/JPT1/TPX2/CKS2/MAD2L1/CCNB2/KIF23/HMGA1/SMC4/HMGB3/ORC6/HMMR/CHEK1/MARCKS/MYBL2/SQLE/SLC7A5/CDK1/BUB1/KNL1/H2AZ1/CENPE/KIF2C/EZH2/PLK1/STMN1/KIF11/PRC1/KPNA2/CDC20/NDC80/CCNA2/LMNB1/KIF15/ATF5/KIF4A/AURKA/TGFB1/MCM2/HIF1A/TROAP/E2F3/KIF5B/BUB3/TACC3/H2AX/CDKN3/E2F1/INCENP/CDC7/BARD1/POLA2/POLQ/CHAF1A/SNRPD1/AURKB/NSD2/NEK2/TTK/RAD54L/PBK/STIL/MCM6/SMC2/CENPA/PRIM2/RAD21/NUSAP1/SAP30/SLC38A1/CDC6/SMARCC1/CDC45/BRCA2/CKS1B/TRAIP/E2F2/CCNF/SMC1A/PML/HSPA8/DTYMK/DBF4/GINS2,0.7337619883564803
HALLMARK_MTORC1_SIGNALING, Mtorc1 Signaling,196,0.7207026590729557,1.840200789912549,4.690056552783733e-9,7.816760921306223e-8,4.9369016345091925e-8,3176,"tags=55%, list=16%, signal=47%",GAPDH/RRM2/SCD/SLC6A6/PLOD2/SQLE/SLC7A5/ENO1/ITGB2/BUB1/CXCR4/PGK1/ACTR2/PLK1/PSMA4/PRDX1/EGLN3/SLC2A1/SERPINH1/ACTR3/CD9/PSMD14/TPI1/BCAT1/WARS1/SERP1/CALR/FADS2/AURKA/SHMT2/MCM2/HSPA5/EDEM1/MTHFD2/MCM4/TUBA4A/SRD5A1/SLA/YKT6/GLRX/HMGCS1/SLC7A11/PNP/TFRC/DHCR7/CANX/LDHA/SLC1A4/RAB1A/TOMM40/GPI/M6PR/SDF2L1/HMBS/ERO1A/HSPE1/TRIB3/PFKL/ARPC5L/EIF2S2/STARD4/TES/IMMT/ACLY/LGMN/ELOVL6/PDAP1/PSMA3/STIP1/RIT1/DAPP1/RPN1/IFI30/IDH1/PGM1/PSME3/TUBG1/CCT6A/HPRT1/P4HA1/PPA1/EPRS1/CCNF/UCHL5/TXNRD1/SSR1/PSMC4/GLA/RDH11/EBP/ATP5MC1/ME1/GSR/STC1/DDX39A/HSPD1/EEF1E1/MLLT11/DDIT4/NFKBIB/ABCF2/NMT1/TCEA1/ELOVL5/UFM1/CACYBP/PSMD13,0.7614608014455848
HALLMARK_INTERFERON_GAMMA_RESPONSE, Interferon Gamma Response,197,0.6698302837809659,1.731424380426757,6.449455363924005e-6,6.449455363924005e-5,4.07334022984674e-5,2574,"tags=52%, list=13%, signal=46%",CXCL11/CXCL10/HLA-A/ISG15/HLA-B/CXCL9/B2M/RNF213/EPSTI1/HLA-DRB1/RSAD2/STAT1/HLA-DQA1/IFI27/CD74/FCGR1A/OAS3/TAP1/TAPBP/TRIM14/NLRC5/WARS1/CD86/CMPK2/ISG20/MX1/IDO1/IFI44L/HIF1A/VAMP8/SAMD9L/MTHFD2/OASL/OAS2/PARP12/PARP14/RTP4/ADAR/IFIT2/IFIT3/UPP1/GBP4/LY6E/CASP3/UBE2L6/IFIH1/RIPK2/CCL5/IFIT1/BST2/NMI/PSME2/IFI44/PNP/PSMB9/STAT2/IL2RB/FPR1/ST8SIA4/LCP2/ZBP1/CASP8/LAP3/IRF8/PSMB2/IRF5/IRF2/PSMB8/TNFAIP3/APOL6/GCH1/EIF2AK2/CD274/CD38/TRIM26/IRF7/ITGB7/IL4R/XAF1/MARCHF1/HLA-DMA/SOCS1/GZMA/PSMA3/PTPN1/IL10RA/TRIM21/CMKLR1/ICAM1/LYSMD2/NCOA3/IFI35/IFI30/IRF1/CIITA/BPGM/USP18/PML/IRF9/HELZ2/PFKP/HERC6/BANK1,0.610526878385931
HALLMARK_INTERFERON_ALPHA_RESPONSE, Interferon Alpha Response,96,0.733877349796008,1.7254699998243597,1.1392596756470825e-5,9.493830630392354e-5,5.996103556037276e-5,2140,"tags=59%, list=10%, signal=53%",CXCL11/CXCL10/ISG15/B2M/HLA-C/EPSTI1/RSAD2/IFI27/CD74/TAP1/LAMP3/OAS1/TRIM14/WARS1/NUB1/CMPK2/ISG20/MX1/IFI44L/SAMD9L/OASL/PARP12/PARP14/RTP4/ADAR/IFIT2/SAMD9/IFIT3/GBP4/LY6E/UBE2L6/IFIH1/RIPK2/BST2/NMI/PSME2/IFI44/PSMB9/STAT2/CASP8/LAP3/IRF2/PSMB8/CCRL2/EIF2AK2/PARP9/TRIM26/IRF7/GMPR/IL4R/GBP2/CNP/PSMA3/TRIM21/IFI35/IFI30/IRF1,0.5933254763964051
HALLMARK_MYOGENESIS, Myogenesis,187,-0.6171815758382044,-1.648596935885937,3.422145111475628e-4,0.0021388406946722676,0.001350846754529853,1281,"tags=19%, list=6%, signal=18%",COX7A1/MEF2C/SPDEF/SORBS1/EIF4A2/CKB/SMTN/EFS/MYOM2/HSPB2/ITGB4/WWTR1/STC2/SORBS3/COL15A1/VIPR1/SSPN/ITGA7/TNNT3/DMD/CLU/FGF2/SVIL/MYH11/GPX3/ABLIM1/SOD3/LAMA2/PRNP/FHL1/IGF1/CD36/GSN/CFD/APOD,0.49849310876659025
HALLMARK_MYC_TARGETS_V1, Myc Targets V1,199,0.6326765274929473,1.6241175869901099,7.108616883104703e-5,5.077583487931931e-4,3.2068948344833245e-4,2564,"tags=37%, list=13%, signal=32%",TYMS/MAD2L1/PSMA7/H2AZ1/PGK1/PSMA4/KPNA2/CDC20/CCNA2/PABPC1/PSMD14/NME1/HDGF/CCT3/MCM2/PCNA/BUB3/PSMD1/MCM4/EIF4G2/PPM1G/PSMD7/PSMA1/UBE2E1/VDAC1/CANX/RANBP1/LDHA/SET/AIMP2/PSMB2/ILF2/SNRPD1/DEK/HNRNPC/EIF3J/RFC4/NCBP1/COX5A/HSPE1/PSMD8/PSMB3/RRM1/MCM7/MCM6/POLE3/EIF2S2/TXNL4A/CTPS1/SNRPG/CBX3/SMARCC1/C1QBP/SNRPD2/CDC45/SRPK1/RNPS1/CYC1/MRPS18B/CCT5/CSTF2/PSMD3/KARS1/HPRT1/EPRS1/CLNS1A/IARS1/PRPS2/NDUFAB1/PCBP1/PSMC4/VDAC3/NOP16,0.5384340963099162
HALLMARK_UV_RESPONSE_DN, Uv Response Dn,143,-0.6123475276125367,-1.5869832398217125,0.0010311169603785203,0.005190744338873829,0.003278364845604523,1291,"tags=34%, list=6%, signal=32%",TJP1/AKT3/LAMC1/PPARG/PTPN21/PMP22/NOTCH2/IRS1/PHF3/CITED2/SMAD3/PDGFRB/ATRX/DAB2/NR3C1/MET/NR1D2/PRKCE/ADGRL2/SYNE1/CCN1/MAP1B/RBPMS/YTHDC1/NRP1/ACVR2A/MYC/RXRA/ID1/TGFBR2/MGLL/RND3/LPAR1/PLCB4/CDON/NFIB/MMP16/ADD3/KIT/EFEMP1/DLC1/CAV1/PTGFR/DUSP1/PLPP3/TFPI/FBLN5/TGFBR3,0.45505986738722953
HALLMARK_PI3K_AKT_MTOR_SIGNALING, Pi3k Akt Mtor Signaling,102,0.665437438715824,1.5710088626585366,0.0011419637545522423,0.005190744338873829,0.003278364845604523,3498,"tags=43%, list=17%, signal=36%",CFL1/PFN1/CDK1/CXCR4/ACTR2/SLC2A1/ACTR3/GRB2/PPP1CA/CALR/YWHAB/CLTC/ARPC3/E2F1/SLA/IL2RG/RPS6KA1/STAT2/GRK2/TRAF2/TRIB3/THEM4/LCK/AKT1/PIN1/PLCG1/RIT1/DAPP1/ARF1/SFN/CSNK2B/TIAM1/CAMK4/PRKCB/AP2M1/AKT1S1/NFKBIB/ITPR2/FASLG/CAB39/MYD88/MAPK9/PRKAG1/TBK1,0.45505986738722953
