ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:1902412,regulation of mitotic cytokinesis,19,0.7287618195090143,2.101260381799313,0.0010186902814985277,0.42055503512029624,0.4205550351202963,1876,"tags=42%, list=14%, signal=36%",RAB11A/RBX1/MAP9/WNK1/DCDC1/CUL4B/POLDIP2/ECT2,0.45505986738722953
GO:0070286,axonemal dynein complex assembly,14,0.7376091319422996,1.9589615129483537,0.002869329804414951,0.4548169046841268,0.4548169046841268,1530,"tags=50%, list=12%, signal=44%",DNAH2/DNAL1/DNAH5/ZMYND10/DNAAF4/DNAAF5/DNAAF1,0.4317076958033464
GO:0099638,endosome to plasma membrane protein transport,15,0.7379166793719933,1.9396257044237502,0.002358133827816265,0.43698342634984644,0.4369834263498465,1131,"tags=33%, list=9%, signal=31%",NSG1/RAB11A/SORL1/ATP6AP1/AKAP5,0.4317076958033464
GO:0006167,AMP biosynthetic process,12,0.7746387725469177,1.9393628541973642,0.0034784630423376852,0.4638729844790846,0.46387298447908465,2313,"tags=58%, list=18%, signal=48%",PPAT/PFAS/ADSL/ADK/GART/ADSS2/APRT,0.4317076958033464
GO:0098887,"neurotransmitter receptor transport, endosome to postsynaptic membrane",9,0.8326245534051313,1.8951097735022249,0.0017327573566176258,0.42055503512029624,0.4205550351202963,358,"tags=22%, list=3%, signal=22%",NSG1/RAB11A,0.45505986738722953
GO:0099639,"neurotransmitter receptor transport, endosome to plasma membrane",9,0.8326245534051313,1.8951097735022249,0.0017327573566176258,0.42055503512029624,0.4205550351202963,358,"tags=22%, list=3%, signal=22%",NSG1/RAB11A,0.45505986738722953
GO:0006858,extracellular transport,16,0.6899758206515273,1.8809253754619126,0.003919719324538288,0.46442804668108034,0.4644280466810804,1548,"tags=38%, list=12%, signal=33%",CABYR/DNAAF4/CFAP53/TSG101/DNAAF1/SPA17,0.40701791892395395
GO:0006335,DNA replication-dependent chromatin assembly,9,0.8253205174309899,1.8784852938324883,0.0021565906922726623,0.43584697890830504,0.4358469789083051,867,"tags=33%, list=7%, signal=31%",CHAF1B/ASF1B/UBN1,0.4317076958033464
GO:0039535,regulation of RIG-I signaling pathway,18,0.6613099651140697,1.8722551480681415,0.004072072741342395,0.46442804668108034,0.4644280466810804,3247,"tags=56%, list=25%, signal=42%",DHX58/ZCCHC3/UFD1/DDX60/NOP53/C1QBP/RNF125/ANKRD17/NPLOC4/PUM2,0.40701791892395395
GO:0071732,cellular response to nitric oxide,13,0.7231259882112069,1.8552339148503507,0.0070322076320081224,0.5037025690944181,0.5037025690944181,1303,"tags=31%, list=10%, signal=28%",GUCY1B1/AIFM1/CFLAR/PTPN1,0.40701791892395395
GO:1902170,cellular response to reactive nitrogen species,13,0.7231259882112069,1.8552339148503507,0.0070322076320081224,0.5037025690944181,0.5037025690944181,1303,"tags=31%, list=10%, signal=28%",GUCY1B1/AIFM1/CFLAR/PTPN1,0.40701791892395395
GO:0098877,neurotransmitter receptor transport to plasma membrane,13,0.7097411629482971,1.820894142560431,0.00868680948598403,0.5037025690944181,0.5037025690944181,358,"tags=15%, list=3%, signal=15%",NSG1/RAB11A,0.3807304007227924
GO:0098969,neurotransmitter receptor transport to postsynaptic membrane,13,0.7097411629482971,1.820894142560431,0.00868680948598403,0.5037025690944181,0.5037025690944181,358,"tags=15%, list=3%, signal=15%",NSG1/RAB11A,0.3807304007227924
