ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0006959,humoral immune response,252,-0.6823652001493015,-2.0357544491973623,1e-10,9.591834766632595e-8,6.225017090928329e-8,2575,"tags=25%, list=9%, signal=23%",APP/CFH/CD59/CD81/WFDC2/KLK7/POU2F2/KLK5/TRAF3IP2/IL7/FGB/PI3/HAMP/CCL2/IGHA2/CCL18/GNLY/CCL5/GATA6/C4BPA/IGHG1/LYZ/TREM2/GAPDH/CD55/CX3CL1/CFB/GPR183/C1R/RPS19/IGHM/CCL3/RPL30/CXCL1/CD83/CCL3L3/ALOX5/CCL4/RNASE6/HLA-E/HLA-DQB1/HLA-DRB1/CXCL2/S100A9/B2M/CFI/C1S/DEFB1/C1QC/C3/SLPI/TF/IGHA1/EBI3/MEF2C/JCHAIN/BLNK/FCGR2B/C1QB/C1QA/VSIG4/CCL28/LTF,NA
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,30,-0.8797769551919864,-1.9971019673264203,5.650602611669922e-6,5.955087158807885e-4,3.864799617952682e-4,1460,"tags=57%, list=5%, signal=54%",PIKFYVE/TREM2/HLA-DOA/HLA-DQA1/PYCARD/HLA-DQB1/HLA-DPB1/MARCHF1/CTSL/HLA-DRB1/B2M/HLA-DMB/HLA-DMA/FCGR2B/HLA-DPA1/HLA-DRA/CTSS,0.610526878385931
GO:0006956,complement activation,61,-0.7936283260291435,-1.9923772138001918,5.552987165938733e-7,7.79715991024225e-5,5.060288764648855e-5,2976,"tags=33%, list=10%, signal=29%",A2M/CLU/C1QBP/CFH/CD59/IGHA2/C4BPA/IGHG1/TREM2/CD55/CFB/C1R/CFI/C1S/C1QC/C3/IGHA1/C1QB/C1QA/VSIG4,0.6594443980379349
GO:0050853,B cell receptor signaling pathway,69,-0.7752758047938849,-1.9839872579042819,7.993763700738639e-7,1.1034103657426351e-4,7.161037019684601e-5,3170,"tags=43%, list=11%, signal=39%",SOS1/CD79A/SH2B2/KLHL6/GPS2/NFAM1/CD81/MNDA/IGHA2/NFATC2/RFTN1/IGHG1/NFKBIA/SYK/PTPN22/PTPN6/NFKBIZ/BTK/IGHM/LYN/PTPRC/IGKC/NCKAP1L/PIK3CD/PLCG2/IGHA1/MEF2C/BLNK/FCGR2B/LAT2,0.6594443980379349
GO:0070661,leukocyte proliferation,251,-0.6480880655278338,-1.970975083315764,1e-10,9.591834766632595e-8,6.225017090928329e-8,3217,"tags=35%, list=11%, signal=31%",LGALS3/TMEM131L/RIPOR2/TYK2/CD79A/RASGRP1/CD274/IL2RG/CDKN2A/CLU/IL33/BST2/SDC4/ELF4/AGER/GSTP1/VCAM1/GPNMB/CD81/HSPD1/CD40/ARG2/MNDA/NCK2/IL7/TNFSF13B/PIK3CG/CCL5/NFATC2/PHF7/LGALS9/AIF1/MYC/TGFBR2/PPP3CB/CD4/TREM2/PTPN22/IRF1/IKZF3/CD180/SOX11/CD55/IL27RA/CEBPB/IL18/NFKBIZ/IL15/CX3CL1/BTK/GPR183/RASAL3/PNP/LYN/NMB/BTN3A1/PRNP/PTPRC/TNFRSF1B/RAC2/ANXA1/PYCARD/LAPTM5/FCGR3A/LST1/MSN/CSF1/CSF1R/IL34/HLA-E/GAPT/HLA-DPB1/NCKAP1L/EPHB2/HAVCR2/VAV1/HLA-DRB1/LILRB4/KIT/HLA-DMB/EBI3/MEF2C/FCGR2B/HLA-DPA1/TYROBP/VSIG4/CD74/CD86,NA
GO:0032943,mononuclear cell proliferation,223,-0.662988671499781,-1.964503887788625,1e-10,9.591834766632595e-8,6.225017090928329e-8,3217,"tags=34%, list=11%, signal=30%",LGALS3/TMEM131L/RIPOR2/TYK2/CD79A/RASGRP1/CD274/CDKN2A/SDC4/ELF4/AGER/VCAM1/GPNMB/CD81/HSPD1/CD40/ARG2/MNDA/NCK2/IL7/TNFSF13B/PIK3CG/CCL5/NFATC2/LGALS9/AIF1/MYC/TGFBR2/PPP3CB/CD4/PTPN22/IRF1/IKZF3/CD180/SOX11/CD55/IL27RA/CEBPB/IL18/NFKBIZ/IL15/BTK/GPR183/RASAL3/PNP/LYN/BTN3A1/PRNP/PTPRC/TNFRSF1B/RAC2/ANXA1/PYCARD/LAPTM5/FCGR3A/LST1/MSN/CSF1/HLA-E/GAPT/HLA-DPB1/NCKAP1L/EPHB2/HAVCR2/VAV1/HLA-DRB1/LILRB4/HLA-DMB/EBI3/MEF2C/FCGR2B/HLA-DPA1/TYROBP/VSIG4/CD74/CD86,NA
GO:0046651,lymphocyte proliferation,220,-0.6616545326057446,-1.9638689409741243,1.0600013862928948e-10,9.591834766632595e-8,6.225017090928329e-8,3217,"tags=34%, list=11%, signal=30%",LGALS3/TMEM131L/RIPOR2/TYK2/CD79A/RASGRP1/CD274/CDKN2A/SDC4/ELF4/AGER/VCAM1/GPNMB/CD81/HSPD1/CD40/ARG2/MNDA/NCK2/IL7/TNFSF13B/PIK3CG/CCL5/NFATC2/LGALS9/AIF1/MYC/TGFBR2/PPP3CB/CD4/PTPN22/IRF1/IKZF3/CD180/SOX11/CD55/IL27RA/CEBPB/IL18/NFKBIZ/IL15/BTK/GPR183/RASAL3/PNP/LYN/BTN3A1/PRNP/PTPRC/TNFRSF1B/RAC2/ANXA1/PYCARD/LAPTM5/FCGR3A/LST1/MSN/HLA-E/GAPT/HLA-DPB1/NCKAP1L/EPHB2/HAVCR2/VAV1/HLA-DRB1/LILRB4/HLA-DMB/EBI3/MEF2C/FCGR2B/HLA-DPA1/TYROBP/VSIG4/CD74/CD86,0.8390889356212738
GO:0032944,regulation of mononuclear cell proliferation,194,-0.6665220152048099,-1.9592270777251697,4.2165664045683815e-10,3.121792436254991e-7,2.0260160587441522e-7,3217,"tags=32%, list=11%, signal=29%",LGALS3/TMEM131L/RIPOR2/TYK2/CD274/CDKN2A/SDC4/AGER/VCAM1/GPNMB/CD81/ARG2/MNDA/NCK2/IL7/TNFSF13B/CCL5/NFATC2/LGALS9/AIF1/TGFBR2/CD4/PTPN22/IRF1/IKZF3/SOX11/CD55/IL27RA/CEBPB/IL18/IL15/BTK/GPR183/RASAL3/PNP/LYN/PRNP/PTPRC/TNFRSF1B/RAC2/ANXA1/PYCARD/LAPTM5/FCGR3A/LST1/CSF1/HLA-E/HLA-DPB1/NCKAP1L/EPHB2/HAVCR2/HLA-DRB1/LILRB4/HLA-DMB/EBI3/MEF2C/FCGR2B/HLA-DPA1/TYROBP/VSIG4/CD74/CD86,0.8140358378479079
GO:0002455,humoral immune response mediated by circulating immunoglobulin,43,-0.8235721748606657,-1.9512283565162027,1.311770789084441e-5,0.001057728842208286,6.864567916890829e-4,2964,"tags=40%, list=10%, signal=35%",CLU/C1QBP/CD81/IGHA2/C4BPA/IGHG1/TREM2/CD55/C1R/CFI/C1S/C1QC/C3/IGHA1/FCGR2B/C1QB/C1QA,0.5933254763964051
GO:0002443,leukocyte mediated immunity,367,-0.625629101993862,-1.9510392711074063,1e-10,9.591834766632595e-8,6.225017090928329e-8,3067,"tags=30%, list=11%, signal=27%",PLEKHM2/RASGRP1/CD274/IL2RG/KMT2E/MR1/CLU/NKG7/GSDMB/MALT1/DHX36/BST2/PTGDS/C1QBP/JAK3/TGFB1/AGER/MYO1G/CD81/IGLC2/SECTM1/HSPD1/EXOSC3/CD40/TRAF3IP2/ADORA3/CALHM6/ANXA3/SMAD7/PIK3CG/IL1R1/SUPT6H/IGHA2/ADGRE2/DDX21/LGALS9/SPHK2/GAB2/MILR1/RFTN1/WAS/ARRB2/CARD9/C4BPA/KMT5B/ARID5A/IGHG1/SYK/TREM2/SCIMP/KLRD1/CD55/BTN3A2/IL18/SLC15A4/RIF1/FGR/NFKBIZ/HLA-F/BTK/C1R/SERPINB9/TICAM1/CCL3/CD2/LYN/ICAM1/PVR/STX4/PARP3/PTPRC/TNFRSF1B/PCYOX1L/RAC2/IGKC/FCER1A/FCGR3A/STX7/HLA-E/NCKAP1L/HLA-B/HAVCR2/VAV1/HLA-DRB1/B2M/LILRB4/SPI1/CFI/KIT/C1S/C1QC/NR4A3/PIK3CD/C3/CD84/PLCG2/IGHA1/CBL/CX3CR1/ITGB2/FCGR2B/TYROBP/C1QB/C1QA/INPP5D/CD74/BTN3A3/FCER1G/HLA-DRA/CLEC7A/LAT2,NA
