ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
HALLMARK_ALLOGRAFT_REJECTION, Allograft Rejection,199,0.685049550005792,2.0212240853565233,1e-10,2.5e-9,1.473684210526316e-9,3774,"tags=48%, list=13%, signal=42%",CD86/CTSS/HLA-DRA/CD74/FCGR2B/IRF8/ITGB2/HLA-DMA/HLA-DMB/GPR65/STAT4/SPI1/IGSF6/B2M/CCR1/HCLS1/ETS1/BCAT1/HLA-E/LCP2/TAP2/CCL4/CSF1/APBB1/EGFR/SRGN/TLR2/HLA-DQA1/IL16/PTPRC/GBP2/TGFB2/ICAM1/FYB1/LYN/CD2/RPS19/RPL9/HLA-DOA/HIF1A/IL15/IFNAR2/FGR/RPS9/IL18/DYRK3/NCF4/IL27RA/PTPN6/LY86/KLRD1/TLR1/STAB1/WAS/STAT1/TAPBP/ABI1/CD4/CCL5/CCL2/TNF/LTB/IL7/CAPG/ZAP70/CD40/ST8SIA4/IFNGR1/TLR3/FLNA/DEGS1/TGFB1/ACHE/ELF4/INHBA/CXCL9/CDKN2A/IL2RG/IL4R/LIF/SOCS5/CD79A/SOCS1/CD7/IFNGR2/RIPK2/ITGAL/NLRP3/BCL10/GCNT1/RARS1/PRF1/HDAC9/IL1B/NCK1/PRKCB,NA
HALLMARK_INTERFERON_GAMMA_RESPONSE, Interferon Gamma Response,198,0.6792417048599283,1.9968155707143045,1e-10,2.5e-9,1.473684210526316e-9,3363,"tags=53%, list=12%, signal=47%",CD86/CD74/IRF8/CIITA/SAMHD1/HLA-DMA/CMKLR1/NLRC5/IRF5/FGL2/C1S/STAT4/B2M/HLA-DRB1/MARCHF1/HLA-B/MX1/TNFAIP2/LCP2/PDE4B/SOD2/OAS3/PSMB2/HLA-DQA1/MVP/DDX60/ICAM1/SPPL2A/IL10RA/UBE2L6/IFITM3/PNP/C1R/UPP1/CFB/IFI44L/XAF1/HIF1A/IL15/IFNAR2/TRIM21/PLSCR1/IFIH1/PTPN6/LY6E/TRIM14/IRF1/PELI1/EIF2AK2/NFKBIA/RAPGEF6/APOL6/PARP14/TOR1B/MX2/STAT1/TAPBP/CD69/PIM1/OAS2/CCL5/CCL2/NMI/LAP3/IFIT1/TXNIP/ARL4A/FPR1/EIF4E3/IL7/PLA2G4A/HELZ2/CD40/ST8SIA4/SECTM1/GBP4/PTGS2/MYD88/BPGM/CFH/VCAM1/PTPN1/ITGB7/CASP8/RNF213/TNFSF10/BST2/PSMB8/PFKP/CXCL9/IFI44/IL4R/CD274/SOCS3/SOCS1/PARP12/RTP4/IFIT3/IRF2/PTPN2/SLAMF7/PML/RIPK2/CMPK2,NA
HALLMARK_TNFA_SIGNALING_VIA_NFKB, Tnfa Signaling Via Nfkb,199,0.6696081369199499,1.9756645254082252,2.4919333030787005e-10,4.153222171797834e-9,2.448215174954513e-9,3429,"tags=47%, list=12%, signal=41%",PLEK/EDN1/ATF3/ID2/NR4A3/CXCL2/KYNU/TRIB1/HBEGF/BIRC3/JUN/TNFAIP2/PNRC1/SGK1/PDE4B/KLF6/SOD2/CCL4/CSF1/FOS/PLK2/SQSTM1/JUNB/FOSB/TLR2/NFKB2/ZFP36/RCAN1/CD83/F3/ICAM1/CXCL1/CFLAR/MAFF/ZC3H12A/IL7R/CD44/GPR183/VEGFA/SLC2A3/GADD45A/OLR1/NR4A1/DUSP1/IL18/CEBPB/TNC/IFIH1/FOSL2/DRAM1/PHLDA1/TANK/IRF1/NFKBIA/PTPRE/KLF10/KLF2/EGR1/CD69/TNIP1/CCN1/MYC/PPP1R15A/CCNL1/CCL5/CCL2/LITAF/PLAUR/TNF/KDM6B/IER5/BTG2/MCL1/FUT4/LAMB3/KLF9/BIRC2/KLF4/PTGS2/TIPARP/INHBA/SDC4/MAP2K3/TRAF1/LIF/SOCS3/SPHK1/DUSP2/IFNGR2/ETS2/RIPK2/TGIF1/TNFAIP3,0.8140358378479079
HALLMARK_INFLAMMATORY_RESPONSE, Inflammatory Response,199,0.5964531810356881,1.7598223884486233,7.435425720121726e-7,9.294282150152158e-6,5.478734741142325e-6,4036,"tags=47%, list=14%, signal=40%",AXL/MSR1/EDN1/RGS1/EBI3/CMKLR1/C3AR1/HBEGF/CSF3R/LCP2/ADORA2B/PDE4B/KLF6/CD14/CSF1/CYBB/TLR2/TNFRSF1B/SLC11A2/F3/PVR/ICAM1/IL10RA/IL7R/CD48/SLC4A4/LYN/GPR183/C5AR1/HIF1A/CX3CL1/IL15/PIK3R5/OLR1/EMP3/ITGA5/IL18/CD55/LY6E/KCNJ2/IRF1/TLR1/STAB1/MMP14/EIF2AK2/NFKBIA/PTPRE/SGMS2/TAPBP/ABI1/P2RX7/DCBLD2/CD69/OSMR/MYC/CCL5/CCL2/NMI/PLAUR/IL1R1/BTG2/FPR1/CD40/TLR3/KIF1B/INHBA/TNFSF10/BST2/ITGB8/PDPN/CXCL9/IL4R/LIF/RASGRP1/SPHK1/PTGER2/RTP4/IFNGR2/SELL/RIPK2/NLRP3/RHOG/RELA/FZD5/ITGB3/LAMP3/IL1B/CXCL8/HRH1/ACVR2A/PTAFR/ADRM1/TNFSF15,0.6594443980379349
HALLMARK_INTERFERON_ALPHA_RESPONSE, Interferon Alpha Response,97,0.6324348965399205,1.6945567425401904,9.710772606875294e-5,6.069232879297059e-4,3.5776530656908984e-4,3778,"tags=47%, list=13%, signal=41%",CD74/UBA7/C1S/B2M/NCOA7/MX1/CSF1/GBP2/DDX60/UBE2L6/IFITM3/IFI44L/IL15/TRIM21/PLSCR1/IFIH1/LY6E/TRIM14/IRF1/EIF2AK2/PARP14/NMI/LAP3/TMEM140/TXNIP/IL7/HELZ2/GMPR/GBP4/CASP8/BST2/PSMB8/IFI44/IL4R/PARP12/RTP4/PROCR/IFIT3/SAMD9/IRF2/SELL/RIPK2/CMPK2/LAMP3/IFI27/PSME2,0.5384340963099162
HALLMARK_COMPLEMENT, Complement,199,0.5662937457567083,1.670837617951205,5.418817300898586e-6,5.418817300898586e-5,3.19425019842443e-5,3662,"tags=36%, list=13%, signal=31%",LTF/CTSS/PLEK/FCER1G/C1QA/C3/C1QC/C1S/S100A9/KYNU/CTSL/ZEB1/LCP2/LTA4H/CA2/PDP1/STX4/USP16/F3/CXCL1/MAFF/LYN/L3MBTL4/C1R/CFB/APOC1/PIK3R5/OLR1/PLSCR1/CEBPB/CD55/IRF1/DYRK2/PRSS36/MMP14/PLA2G7/WAS/USP15/PIM1/FN1/CCL5/PLAUR/LAP3/HSPA1A/GCA/PIK3CG/PLA2G4A/CPM/USP8/SERPINA1/PREP/CD59/CFH/SH2B3/LGMN/KIF2A/DOCK4/CLU/GNB4/CTSB/RASGRP1/TIMP2/IRF2/LGALS3/ERAP2/TNFAIP3/CP/RHOG/SPOCK2/CTSH/CTSD,0.610526878385931
HALLMARK_IL6_JAK_STAT3_SIGNALING, Il6 Jak Stat3 Signaling,83,0.6268569175779202,1.655422446628007,0.0010373022703004098,0.004715010319547318,0.0027793745041542082,3944,"tags=52%, list=14%, signal=45%",EBI3/CBL/ACVRL1/CCR1/CSF3R/JUN/CD14/CSF1/TLR2/IL17RA/TNFRSF1B/CXCL1/ITGA4/CD44/PIK3R5/IRF1/STAT1/PIM1/OSMR/TNF/IL1R1/LTB/IL7/IFNGR1/MYD88/PTPN1/TNFRSF12A/TGFB1/CXCL9/A2M/IL2RG/IL4R/SOCS3/SOCS1/TYK2/IFNGR2/PTPN2/ITGB3/TNFRSF1A/IL1B/HMOX1/CXCL3/STAT3,0.45505986738722953
HALLMARK_KRAS_SIGNALING_UP, Kras Signaling Up,195,0.5621466347707872,1.6365744260655173,1.5573078263896836e-5,1.297756521991403e-4,7.649933182265114e-5,3048,"tags=36%, list=11%, signal=33%",PIGR/CTSS/LAT2/FCER1G/ST6GAL1/IRF8/ITGB2/CBL/CMKLR1/GUCY1A1/SLPI/ID2/CD37/MMD/C3AR1/TRIB1/PECAM1/HBEGF/BIRC3/EPHB2/ETS1/TFPI/IKZF1/LAPTM5/CXCR4/CA2/DOCK2/TNFRSF1B/GNG11/EMP1/IL10RA/PRDM1/IL7R/CFB/ALDH1A3/SOX9/LY96/ETV5/SATB1/PEG3/FGF9/CDADC1/ADGRL4/DCBLD2/PPP1R15A/GLRX/PLAUR/TMEM176A/TMEM158/ANXA10/BTC/GYPC/NAP1L2/PLEK2/KLF4/PTGS2/MAFB/BPGM/CFH/AVL9/GPNMB/BTBD3/ADAM8/STRN/ADGRA2/INHBA/PSMB8/IL33/TRAF1/IL2RG/LIF,0.5756102610711286
HALLMARK_ESTROGEN_RESPONSE_EARLY, Estrogen Response Early,198,-0.5862536385776638,-1.5551760066807792,6.514285655780635e-5,4.653061182700454e-4,2.7428571182234253e-4,3878,"tags=47%, list=14%, signal=41%",RBBP8/DLC1/CBFA2T3/SLC7A5/IGFBP4/FLNB/SEC14L2/SCNN1A/CALCR/BCL2/ADCY1/RRP12/SCARB1/ELF1/TJP3/WFS1/MSMB/RARA/MUC1/ZNF185/AMFR/P2RY2/NBL1/TMEM164/FKBP4/PPIF/SLC19A2/AR/SLC7A2/FASN/CA12/AFF1/BLVRB/KRT18/CANT1/GJA1/TTC39A/ADD3/RET/THSD4/FDFT1/DYNLT3/PTGES/SULT2B1/RAPGEFL1/IL17RB/ABHD2/CISH/STC2/ARL3/GFRA1/TSKU/B4GALT1/TBC1D30/AREG/TUBB2B/OLFM1/ITPK1/MINDY1/KDM4B/SIAH2/ESRP2/IL6ST/DHRS2/NPY1R/SLC27A2/BAG1/TFF1/TFF3/ABCA3/MAST4/PRSS23/ELOVL5/ABAT/NRIP1/CELSR1/SLC39A6/MREG/MYB/OVOL2/TPBG/AQP3/RHOBTB3/GREB1/SEMA3B/PGR/MAPT/XBP1/JAK2/MLPH/SYBU/ELOVL2/SLC1A4,0.5384340963099162
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION, Epithelial Mesenchymal Transition,200,0.5279117526275706,1.5485080805248364,1.4313512789907248e-4,7.951951549948471e-4,4.6874661768117306e-4,4406,"tags=48%, list=15%, signal=41%",ID2/ANPEP/JUN/SGCB/CALD1/ITGB1/DAB2/CCN2/MYLK/PVR/CXCL1/MSX1/SERPINH1/TPM4/IL32/DPYSL3/CD44/TNFRSF11B/VEGFA/COL8A2/TGM2/IL15/GADD45A/COL16A1/EMP3/FZD8/ITGA5/TNC/VIM/GLIPR1/COL5A2/MMP14/MCM7/FBLN1/FBLN2/THBS2/TPM2/TAGLN/NNMT/COL6A2/CCN1/COL1A1/VEGFC/TIMP3/FGF2/FN1/BDNF/PLAUR/LOXL1/CAPG/SFRP1/THBS1/DST/FLNA/CD59/LAMC1/VCAM1/TNFRSF12A/TGFB1/BGN/INHBA/SNTB1/APLP1/SDC4/GPX7/MEST/CTHRC1/LGALS1/CADM1/SERPINE2/COL5A3/PRRX1/COL3A1/MYL9/TNFAIP3/MMP3/COL5A1/FBLN5/ITGB3/PMP22/TPM1/LAMC2/RHOB/CXCL8/SLIT2/COL1A2/DCN/ECM2/TGFBI/NTM/SAT1/EDIL3/MFAP5/LOX/SPARC/GEM,0.5188480777437918
HALLMARK_OXIDATIVE_PHOSPHORYLATION, Oxidative Phosphorylation,198,-0.5659138182758061,-1.5012198374868593,2.4518555424364374e-4,0.0012259277712182188,7.226521598760027e-4,5023,"tags=47%, list=18%, signal=39%",HADHA/SUCLG1/PDK4/NDUFS2/NDUFA6/RHOT2/BDH2/SUPV3L1/NDUFB4/TIMM8B/MRPS12/TIMM50/VDAC2/NDUFB2/ABCB7/MRPS30/CPT1A/VDAC3/ATP6V0B/FH/TOMM22/ACAA1/NDUFA2/TOMM70/AIFM1/GRPEL1/MGST3/HSD17B10/NDUFS8/PHB2/COX8A/ATP6V1G1/HTRA2/NDUFA1/ATP6AP1/NDUFB3/COX17/MRPS15/NDUFS6/GPI/SLC25A11/ETFA/UQCR10/SURF1/CYC1/RETSAT/MTRR/NDUFB8/MRPL35/ATP5F1E/NQO2/COX7A2/NDUFS7/ETFDH/DLD/ACADVL/ISCA1/NDUFS1/PRDX3/NDUFV2/DLAT/PDHB/NDUFA5/MTX2/ATP5MF/NDUFC1/SDHC/ECI1/MRPS11/COX7A2L/NDUFC2/UQCRQ/CYB5A/PHYH/MFN2/ACADSB/ATP5PD/ACAT1/SDHB/TIMM10/SDHA/GOT2/ATP5PF/IDH1/SLC25A5/UQCR11/NDUFA8/NDUFB5/NDUFAB1/IDH3A/COX6A1/ACADM/UQCRFS1/COX6C,0.49849310876659025
HALLMARK_TGF_BETA_SIGNALING, Tgf Beta Signaling,54,0.5942420585969368,1.4730838517952234,0.010774830108621182,0.03848153610221851,0.02268385286025512,3430,"tags=43%, list=12%, signal=38%",SKI/ID2/SMAD6/JUNB/LTBP2/KLF10/PPP1R15A/TRIM33/ACVR1/CTNNB1/RAB31/SMAD7/TGFBR1/UBE2D3/THBS1/TGFB1/BMPR1A/SKIL/WWTR1/IFNGR2/CDH1/TGIF1/NCOR2,0.3807304007227924
