"","Gene","Cluster","Max_Weight","Rank"
"UGT2B28","UGT2B28",2,12.4243407696058,4
"UGT2B11","UGT2B11",2,12.4126642132837,4
"DHRS2","DHRS2",2,11.9271787013979,4
"AKR1B15","AKR1B15",2,11.4628592196315,4
"GSTM5","GSTM5",2,11.1795104691704,4
"FDCSP","FDCSP",1,7.75464773637751,4
"C6orf223","C6orf223",2,11.2284031965627,4
"ACSM1","ACSM1",2,11.118234177895,4
"HPGD","HPGD",2,11.4660087973882,4
"HMGCS2","HMGCS2",2,10.1302181842027,4
"PGC","PGC",2,10.1555836547891,4
"ABCC11","ABCC11",2,11.0466248745522,4
"CSN3","CSN3",1,5.96103794621734,4
"AKR1C2","AKR1C2",2,10.3357730523229,4
"ALOX15B","ALOX15B",2,10.7476197174785,4
"CPB1","CPB1",3,7.84480269788516,4
"PRAME","PRAME",4,8.74251418108789,4
"SERHL2","SERHL2",2,10.6586180805976,4
"S100A7","S100A7",4,6.50675892538489,4
"TFF1","TFF1",3,10.2151831035918,4
"AKR1D1","AKR1D1",2,11.2520919655232,4
"S100P","S100P",4,8.50975450323748,4
"LINC02522","LINC02522",2,9.94438454286313,4
"PNLIPRP3","PNLIPRP3",2,11.2401170918658,4
"SLC26A3","SLC26A3",2,9.7345059467273,4
"SULT1C2P1","SULT1C2P1",2,10.6215269232606,4
"CYP2B7P","CYP2B7P",2,7.2440102146968,4
"LINC02169","LINC02169",2,11.1594882760883,4
"SPINK8","SPINK8",2,10.6559850413068,4
"TAT","TAT",3,7.36254265413295,4
"LBP","LBP",2,9.48635919689164,4
"IGHA2","IGHA2",1,8.31833038928959,4
"LALBA","LALBA",1,5.76907870965019,4
"CXCL13","CXCL13",4,4.8370176647104,4
"TSPAN8","TSPAN8",2,9.43849689369014,4
"OPRPN","OPRPN",1,5.86553469601539,4
"LINC01088","LINC01088",2,9.44779268539588,4
"LINC01087","LINC01087",3,10.6915527350387,4
"CRISP3","CRISP3",4,5.17452547451522,4
"LINC02303","LINC02303",2,9.32453804578097,4
"HPD","HPD",2,10.4599424094213,4
"IGHG1","IGHG1",1,7.06421571668199,4
"CXCL10","CXCL10",4,7.14482489765086,4
"MUCL1","MUCL1",2,9.18542744288931,4
"LINC02487","LINC02487",4,7.27784325458387,4
"SORD","SORD",2,10.0822296768102,4
"KCNC2","KCNC2",3,8.772508062654,4
"FABP7","FABP7",2,7.67980878549653,4
"LINC00624","LINC00624",2,10.3758936268461,4
"IGHG4","IGHG4",1,6.29529811823693,4
"CHST1","CHST1",2,9.69346050017642,4
"PIP","PIP",2,8.4712832524029,4
"ABCC12","ABCC12",2,10.3372572388667,4
"PTHLH","PTHLH",3,7.60189092345505,4
"SERHL","SERHL",2,9.18736579969222,4
"GLRA3","GLRA3",3,7.65530743345301,4
"THRSP","THRSP",2,8.59102690147314,4
"MTND3P19","MTND3P19",2,3.83495447703374,4
"MYOM2","MYOM2",2,9.18679683765224,4
"MUC6","MUC6",3,6.84426491882816,4
"SCGB1A1","SCGB1A1",2,6.74107643466938,4
"CLCA2","CLCA2",2,8.90774032855579,4
"AC122713.2","AC122713.2",2,9.90901219924464,4
"WIF1","WIF1",3,7.25690847939287,4
"CSN1S1","CSN1S1",1,5.52478650795041,4
"EN1","EN1",4,7.74832652000915,4
"IGHM","IGHM",1,8.2639019875795,4
"DDC","DDC",2,9.60569489871046,4
