"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_11770_354_EN_E_S1_R1_001","set1_3_11770_354_EN_E_S1_R1_001",3,0.121629176418064,4
"set1_3_11772_354_IDC_E_S3_R1_001","set1_3_11772_354_IDC_E_S3_R1_001",3,0.112119798141604,4
"set1_3_11774_354_RS1_E_center_S5_R1_001","set1_3_11774_354_RS1_E_center_S5_R1_001",1,0.0876045657291693,4
"set1_3_11776_354_RS1_E_peripheral_S7_R1_001","set1_3_11776_354_RS1_E_peripheral_S7_R1_001",3,0.118117075161919,4
"set1_3_11778_354_RS2_E_center_S9_R1_001","set1_3_11778_354_RS2_E_center_S9_R1_001",3,0.0994626176362093,4
"set1_3_11780_354_RS2_E_peripheral_S11_R1_001","set1_3_11780_354_RS2_E_peripheral_S11_R1_001",3,0.101386721847314,4
"set1_3_11782_354_NL_E_S13_R1_001","set1_3_11782_354_NL_E_S13_R1_001",3,0.114029637797467,4
"set1_3_11784_355_RS1_E_center_S15_R1_001","set1_3_11784_355_RS1_E_center_S15_R1_001",3,0.0791293903804217,4
"set1_3_11786_355_RS1_E_peripheral_S17_R1_001","set1_3_11786_355_RS1_E_peripheral_S17_R1_001",3,0.120962794155449,4
"set1_3_11789_355_RS2_E_center_S20_R1_001","set1_3_11789_355_RS2_E_center_S20_R1_001",1,0.0790532822145594,4
"set1_3_11791_355_RS2_E_peripheral_S22_R1_001","set1_3_11791_355_RS2_E_peripheral_S22_R1_001",3,0.12054461559839,4
"set1_3_11794_355_NL_E_S25_R1_001","set1_3_11794_355_NL_E_S25_R1_001",3,0.102889491265031,4
"set1_3_11796_355_RS3_E_center_S27_R1_001","set1_3_11796_355_RS3_E_center_S27_R1_001",3,0.087324510465036,4
"set1_3_11798_355_RS3_E_peripheral_S29_R1_001","set1_3_11798_355_RS3_E_peripheral_S29_R1_001",3,0.11316467360789,4
"set1_3_11800_356_NL_E_S31_R1_001","set1_3_11800_356_NL_E_S31_R1_001",3,0.111459174536883,4
