Gene,Cluster
UGT2B28,5
UGT2B11,5
DHRS2,5
AKR1B15,5
GSTM5,5
FDCSP,3
C6orf223,5
ACSM1,5
HPGD,5
HMGCS2,5
PGC,5
ABCC11,5
CSN3,3
AKR1C2,5
ALOX15B,5
CPB1,7
PRAME,1
SERHL2,5
S100A7,6
TFF1,7
AKR1D1,5
S100P,6
LINC02522,5
PNLIPRP3,5
SLC26A3,5
SULT1C2P1,5
CYP2B7P,5
LINC02169,5
SPINK8,5
TAT,7
LBP,5
IGHA2,8
LALBA,3
CXCL13,6
TSPAN8,5
OPRPN,4
LINC01088,5
LINC01087,7
CRISP3,6
LINC02303,5
HPD,5
IGHG1,8
CXCL10,3
MUCL1,5
LINC02487,1
SORD,5
KCNC2,7
FABP7,5
LINC00624,5
IGHG4,3
CHST1,5
PIP,5
ABCC12,5
PTHLH,4
SERHL,5
GLRA3,7
THRSP,5
MTND3P19,8
MYOM2,5
MUC6,7
SCGB1A1,5
CLCA2,5
AC122713.2,5
WIF1,4
CSN1S1,2
EN1,1
IGHM,2
DDC,5
CYP4Z1,4
LINC01511,5
MTND1P23,1
S100A8,3
UCHL1,1
AL033397.2,5
MSLN,1
CPHL1P,5
SOX11,1
AC092069.1,2
TFPI2,7
TFF3,7
CDH19,4
CXCL9,3
ARHGAP36,7
ABCA12,5
IGHA1,8
LINC01667,1
HORMAD1,1
ALB,4
AC092071.1,7
AC092325.1,5
SCGB1D2,4
ART3,1
OLFM4,4
ENPP3,5
SERPINA6,7
CALML5,1
ADGRD2,7
AGR3,7
DSG1,4
HLA-DRB5,3
KIF1A,1
IGLC2,8
TCN1,4
PLA2G2A,6
CLEC3A,7
PIGR,4
NXPH4,5
SCGB2A1,4
IGSF1,7
SDR16C5,5
MUC16,3
CXCL17,3
AC008440.1,2
ACADL,5
FIBCD1,5
SIX3,1
CYP2A6,7
SCUBE3,1
PCAT18,5
BMPR1B,7
CNTNAP2,5
GJB1,5
CDKN2A,3
RBM20,5
CITED1,7
SCGB3A1,8
GFRA1,7
MUC5B,1
AL157387.1,7
CALB2,1
NPY2R,7
FABP4,8
AC008736.1,5
HBB,2
CYP4Z2P,5
ST8SIA6-AS1,5
CLIC6,7
CYP4F8,6
IDO1,3
SBSN,6
SCGB2A2,4
FCN2,5
SLC27A2,5
POTEKP,7
GSTA1,1
LCAL1,5
CXCL11,3
MMP9,3
ALKAL2,8
ME1,5
LINC01436,3
AC096996.2,5
KLK11,1
ODAM,3
SCGN,5
LY6D,3
PPEF1,5
SLC15A1,1
PLAC9P1,7
AFP,7
AC025062.3,5
PI3,4
KCNE4,7
LINC00993,7
COL2A1,1
PON3,5
SULT1C3,5
KYNU,5
NPY1R,7
CRABP1,1
TMEM161BP1,7
PIEZO2,7
SHISA2,4
A2ML1,1
UBE2C,1
EREG,4
MTND3P10,2
NCCRP1,3
AC024940.2,1
MRPS30-DT,7
MYBPC1,5
LINC02266,5
KRT81,4
CTHRC1,1
SIGLEC15,2
AQP5,8
NANOGP1,5
AP002001.1,5
CLDN10,4
H4C8,5
KAZN-AS1,5
PGR,7
SRARP,7
CALML3,4
MYBL2,1
HGD,5
PLAAT2,5
UGT2B7,5
AC100826.1,5
FOXM1,1
ANKRD30A,7
FNDC1,1
B3GAT1,5
IGLC3,8
SYCP1,5
TMEM26,7
GRIK1-AS1,7
MMP11,6
AC093001.1,5
GNMT,5
ADRA2A,5
VGLL1,1
MYEOV,8
TDRD12,1
CEACAM6,6
ELOVL2,7
CUX2,5
HAAO,5
DEFB1,4
VN1R53P,7
CLSTN2,7
CP,4
AL033523.1,5
ABCC2,5
MSMB,5
KRT16,4
TTC36,5
WFDC21P,1
ATP1A2,5
JCHAIN,8
LINC02541,5
AC100801.1,5
PI15,7
CHIT1,4
MAB21L4,6
CSN2,2
ALOX15,5
NAT2,5
AGT,6
ELOVL7,5
AP004608.1,5
VSTM2L,6
NAT1,7
PPP4R4,7
CYP4X1,7
MT-TD,1
DNER,1
FAM3D,5
HOXA9,5
GAL,1
PTX3,1
H2AC8,5
AL391097.3,2
TMEM45B,5
HRCT1,1
CYP4F22,4
SERPINA5,7
GRP,4
KMO,5
TMSB15A,1
DIO2,2
AP005233.2,8
CDC20,1
NEK2,1
RN7SL314P,7
PNMT,5
LCN2,4
OBP2B,1
SNORD3A,1
PHGR1,7
FGG,6
DKK1,1
LINC01252,5
COL22A1,3
ADH1C,5
C2CD4A,6
LDHD,5
Z82215.1,2
AP000892.4,8
IQGAP3,1
UGT2B15,7
SOX8,1
AC022784.1,8
LRG1,5
ANKRD30B,7
FAR2,5
AL356804.1,5
TDRD1,6
RNU5F-1,1
CASP14,6
SMR3B,4
LINC02432,5
FADS2,5
TMPRSS11E,5
NPR3,1
TNFSF11,2
SNORC,4
TESC,4
PGBD5,3
LINC01198,8
SLCO1B1,5
AC073114.1,7
GP2,7
FOXCUT,1
PRR27,1
H2AC11,5
HLA-DRB6,3
EDN3,4
SERPINA11,7
LUZP2,4
BRINP3,5
TMEM213,8
TPX2,1
TMEM158,1
MT-TK,8
DCDC2,7
FAM83D,1
HOXB6,6
KRT6A,1
CENPA,1
FMO3,3
NUF2,1
ZNF350-AS1,6
APCDD1L,4
LINC01833,1
AURKB,1
CCDC141,5
ASPM,1
LYPD6,7
KIF4A,1
SAA2,4
MARCO,3
AC104984.4,2
FBN3,1
C5orf46,1
S100A2,4
CDCA7,1
GRIK3,4
PCSK1N,1
CECR2,5
FAR2P1,7
ESR1,7
LINC01554,8
AGR2,7
DLX5,1
ROPN1B,1
MPV17L,5
SCGB1B2P,7
CAPN6,8
MT1G,4
ATP13A5,5
KLK7,4
IGHG3,3
ZIC1,1
CEP55,1
MELK,1
TNNT1,1
CLPSL1,6
KLHDC7B,3
TDRD9,6
KLK6,4
AC023509.2,5
EXTL1,1
NDNF,5
SLC5A8,6
DIO3,5
FGFR3,7
DCD,7
ALDH3B2,5
AKR1C3,5
C16orf89,7
NEK10,7
BIRC5,1
C2CD4B,6
DEPDC1,1
FBN2,1
HBA1,2
AC099508.1,5
COL11A1,6
ADAMTS15,7
NRN1,8
OTX1,1
FSIP2,2
KIF2C,1
ZNF385B,7
AL121790.1,7
COL10A1,6
GRIA2,8
RSAD2,3
ARHGAP40,7
KLHDC7A,7
GJB2,1
ACSM3,5
AP000851.1,4
RPL10,4
MAEL,2
TNFRSF11B,4
SLC13A2,4
GLYATL2,4
RN7SL674P,7
CBX2,1
AC025154.2,8
GBP5,3
SLC25A18,5
GRIA4,8
PTTG1,1
LY6K,1
C7,8
AC008459.1,8
LINC01956,1
PTGS2,4
SLC28A3,4
CHAD,7
LAMP3,3
RIMS2,5
AC119673.3,1
ANLN,1
RET,7
NXNL2,7
NOVA1,7
IGF2BP3,1
SPTSSB,6
GDF15,6
AK5,4
DLGAP5,1
SLC34A2,3
IL32,3
DLK1,8
CAPN8,7
GBP4,3
VSIG10L2,7
CELF4,1
CRYBB2,8
ACKR2,6
CEL,6
SNTG2-AS1,5
LINC02607,4
PITX1,1
CXCL2,4
COL11A2,1
KLHL31,5
FOXI1,4
RIMS1,5
KLK10,4
HJURP,1
FUT3,6
AC010280.1,5
IYD,5
MMP7,4
FMO5,5
GATA3-AS1,7
FYB2,7
MTCYBP13,2
PRSS21,4
HSPB8,7
CLGN,6
EEF1A2,7
AC008268.1,7
TSPAN1,7
CADM3,4
OLAH,1
FGB,6
SULT1C4,5
ONECUT2,6
COL4A6,4
PTN,4
TRIM36,5
KIF20A,1
ECRG4,4
SPAG17,7
CDCA5,1
AC137932.3,2
IFI44L,3
SLITRK6,7
MAOA,8
GSDMC,3
FOXD1,1
RPL10P9,4
AC106045.1,5
CXCL8,6
WNK4,7
ACSBG1,2
CRLF1,1
PKMYT1,6
ADGRL3,4
C2orf72,5
AADAT,5
ATP6V1C2,1
FAM111B,6
PBK,1
MCM10,1
GRB14,1
GNG4,1
HOXB5,6
NLRP2,1
SMYD1,8
LRP2,7
ADH1B,2
AC021066.1,4
NFE4,1
LINC01133,6
H2BC4,5
NDUFA4L2,6
GABRB3,5
DRAIC,7
MKI67,1
XDH,4
NCAM1,4
ASCL2,5
QPCT,1
LOXL4,4
FAM3B,8
LIN7A,7
LIF,4
SLCO1A2,8
DACH1,7
ADCY1,7
GLYATL1,6
FTCD,6
TRABD2B,4
AFAP1-AS1,3
FOXC2,1
SECTM1,3
KRT14,4
ARNTL2,3
PLPPR3,7
BMP7,8
FGF10,8
CAPN13,6
ATP13A4,5
SIM2,1
RRM2,6
HEPACAM2,7
HOXA10,2
DNALI1,7
RARRES1,4
ABCC8,7
GABRE,5
COL9A3,1
DSG3,4
POU3F3,2
AREG,4
SOSTDC1,4
AC093866.1,7
CDH2,1
SLC6A14,4
S100A9,3
CACNA1H,7
CA5BP1,3
APOD,5
KLK5,4
CDK1,1
MAP7D2,1
LINC00504,7
MSX2,7
SUSD3,7
LTB,3
TMEM63C,5
GABBR2,1
H2BC9,6
TUBB2B,4
PAMR1,8
ERICH3,7
DIO1,7
SERPINA1,7
LINC01018,5
EAF2,5
SLC7A2,7
PPP1R14C,4
KIF14,1
SLC44A4,7
RFLNA,4
OLFML3,5
CCNE1,1
KANK4,8
FAM83A,6
LRRC15,6
ATP6V0A4,4
MMP1,3
DGKI,4
MFAP5,8
CMPK2,3
TTN,5
CHST8,7
SMIM31,5
SLITRK4,5
MOGAT2,5
AL031777.2,5
CHRM3,1
AC116407.1,5
SLC44A5,5
TERB2,5
INSYN2B,8
SIX1,5
L1CAM,3
CLDN1,5
SCUBE2,7
Z95114.1,5
ELN,1
ZBTB16,5
CCNB2,1
SNORA2B,8
IFIT1,3
ALX4,8
ROPN1,4
TINCR,6
B3GALT5,8
SGO1,1
FGFR4,6
VSIG2,4
ASPN,6
LPL,3
LINC01819,4
HOXB7,6
CXCL1,4
AKR7A3,7
SLC9A2,5
SLC2A14,5
SEMA6D,8
SMC1B,1
IGF2BP2,4
MUC15,4
BTNL9,8
C2orf88,8
EWSAT1,7
FGFBP1,4
NDC80,1
PLEKHG7,5
SOCS3,3
BUB1B,1
RAB3B,5
