"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_11770_354_EN_E_S1_R1_001","set1_3_11770_354_EN_E_S1_R1_001",1,0.0882558607970794,4
"set1_3_11772_354_IDC_E_S3_R1_001","set1_3_11772_354_IDC_E_S3_R1_001",1,0.0787667237537495,4
"set1_3_11774_354_RS1_E_center_S5_R1_001","set1_3_11774_354_RS1_E_center_S5_R1_001",3,0.0652998259657729,4
"set1_3_11776_354_RS1_E_peripheral_S7_R1_001","set1_3_11776_354_RS1_E_peripheral_S7_R1_001",1,0.08538962139241,4
"set1_3_11778_354_RS2_E_center_S9_R1_001","set1_3_11778_354_RS2_E_center_S9_R1_001",1,0.0651118761729058,4
"set1_3_11780_354_RS2_E_peripheral_S11_R1_001","set1_3_11780_354_RS2_E_peripheral_S11_R1_001",1,0.0660431817177482,4
"set1_3_11782_354_NL_E_S13_R1_001","set1_3_11782_354_NL_E_S13_R1_001",1,0.0804088410450417,4
"set1_3_11784_355_RS1_E_center_S15_R1_001","set1_3_11784_355_RS1_E_center_S15_R1_001",3,0.0528443235178673,4
"set1_3_11786_355_RS1_E_peripheral_S17_R1_001","set1_3_11786_355_RS1_E_peripheral_S17_R1_001",1,0.0886732350073464,4
"set1_3_11789_355_RS2_E_center_S20_R1_001","set1_3_11789_355_RS2_E_center_S20_R1_001",3,0.0516785332179837,4
"set1_3_11791_355_RS2_E_peripheral_S22_R1_001","set1_3_11791_355_RS2_E_peripheral_S22_R1_001",1,0.0855514467603656,4
"set1_3_11794_355_NL_E_S25_R1_001","set1_3_11794_355_NL_E_S25_R1_001",1,0.0713112121049476,4
"set1_3_11796_355_RS3_E_center_S27_R1_001","set1_3_11796_355_RS3_E_center_S27_R1_001",1,0.0643267795166012,4
"set1_3_11798_355_RS3_E_peripheral_S29_R1_001","set1_3_11798_355_RS3_E_peripheral_S29_R1_001",1,0.0831370452226058,4
"set1_3_11800_356_NL_E_S31_R1_001","set1_3_11800_356_NL_E_S31_R1_001",1,0.0771363008988428,4
"set1_3_11802_356_RS1_E_center_S32_R1_001","set1_3_11802_356_RS1_E_center_S32_R1_001",1,0.061097239909372,4
"set1_3_11804_356_RS1_E_peripheral_S34_R1_001","set1_3_11804_356_RS1_E_peripheral_S34_R1_001",1,0.0932750747186336,4
"set1_3_11806_357_NL_E_S50_R1_001","set1_3_11806_357_NL_E_S50_R1_001",1,0.0337245442172585,4
"set1_3_11808_357_RS1_E_center_S32_R1_001","set1_3_11808_357_RS1_E_center_S32_R1_001",1,0.0332387688030234,4
"set1_3_11810_357_RS1_E_peripheral_S5_R1_001","set1_3_11810_357_RS1_E_peripheral_S5_R1_001",1,0.0404485373259876,4
"set1_3_11813_358_NL_E_S36_R1_001","set1_3_11813_358_NL_E_S36_R1_001",1,0.0892893545520734,4
"set1_3_11815_358_EN_E_S38_R1_001","set1_3_11815_358_EN_E_S38_R1_001",1,0.0924525727830716,4
"set1_3_11817_358_RS1_E_center_S40_R1_001","set1_3_11817_358_RS1_E_center_S40_R1_001",1,0.0791306299428277,4
"set1_3_11819_358_RS1_E_peripheral_S42_R1_001","set1_3_11819_358_RS1_E_peripheral_S42_R1_001",1,0.0945337506866111,4
"set1_3_11821_358_IBC_E_S44_R1_001","set1_3_11821_358_IBC_E_S44_R1_001",2,0.0768903811650462,4
"set1_3_11823_358_RS2_E_center_S46_R1_001","set1_3_11823_358_RS2_E_center_S46_R1_001",3,0.0711350896541841,4
"set1_3_11825_358_RS2_E_peripheral_S48_R1_001","set1_3_11825_358_RS2_E_peripheral_S48_R1_001",1,0.0900214348439475,4
"set1_3_11827_359_RS1_E_center_S50_R1_001","set1_3_11827_359_RS1_E_center_S50_R1_001",1,0.072435034518454,4
"set1_3_11829_359_RS1_E_peripheral_S52_R1_001","set1_3_11829_359_RS1_E_peripheral_S52_R1_001",3,0.0922477908447863,4
"set1_3_11831_359_NL_E_S54_R1_001","set1_3_11831_359_NL_E_S54_R1_001",1,0.0545929156744907,4
"set1_3_11833_359_RS2_E_center_S55_R1_001","set1_3_11833_359_RS2_E_center_S55_R1_001",3,0.0514191828806674,4
"set1_3_11835_359_RS2_E_peripheral_S57_R1_001","set1_3_11835_359_RS2_E_peripheral_S57_R1_001",1,0.0830493870842841,4
"set1_3_11837_359_IDC_E_S59_R1_001","set1_3_11837_359_IDC_E_S59_R1_001",1,0.0775793793339511,4
"set1_3_11838_360_RS1_E_center_S4_R1_001","set1_3_11838_360_RS1_E_center_S4_R1_001",1,0.0545722493113687,4
"set1_3_11840_360_RS1_E_peripheral_S8_R1_001","set1_3_11840_360_RS1_E_peripheral_S8_R1_001",1,0.0469616033054917,4
"set1_3_11842_360_NL_E_S3_R1_001","set1_3_11842_360_NL_E_S3_R1_001",3,0.0449899669259467,4
"set1_3_11844_361_RS1_E_center_S34_R1_001","set1_3_11844_361_RS1_E_center_S34_R1_001",1,0.0341651667075092,4
"set1_3_11846_361_RS1_E_peripheral_S7_R1_001","set1_3_11846_361_RS1_E_peripheral_S7_R1_001",1,0.0463450000848099,4
"set1_3_11848_361_RS2_E_center_S18_R1_001","set1_3_11848_361_RS2_E_center_S18_R1_001",1,0.0355513085864674,4
"set1_3_11850_361_RS2_E_peripheral_S10_R1_001","set1_3_11850_361_RS2_E_peripheral_S10_R1_001",1,0.0467974955499182,4
"set1_3_11852_361_RS4_E_center_S9_R1_001","set1_3_11852_361_RS4_E_center_S9_R1_001",3,0.0323255423821109,4
"set1_3_11854_361_RS4_E_peripheral_S11_R1_001","set1_3_11854_361_RS4_E_peripheral_S11_R1_001",1,0.0469172639696457,4
"set1_3_11856_361_RS3_E_center_S21_R1_001","set1_3_11856_361_RS3_E_center_S21_R1_001",3,0.0345675811364483,4
"set1_3_11858_361_RS3_E_peripheral_S13_R1_001","set1_3_11858_361_RS3_E_peripheral_S13_R1_001",1,0.0370811920638201,4
"set1_3_11860_361_NL_E_S49_R1_001","set1_3_11860_361_NL_E_S49_R1_001",3,0.0393671471282925,4
"set1_3_11862_362_RS1_E_center_S55_R1_001","set1_3_11862_362_RS1_E_center_S55_R1_001",3,0.0425655719066387,4
"set1_3_11864_362_RS1_E_peripheral_S39_R1_001","set1_3_11864_362_RS1_E_peripheral_S39_R1_001",1,0.0431489283823858,4
"set1_3_11867_363_RS1_E_center_S15_R1_001","set1_3_11867_363_RS1_E_center_S15_R1_001",3,0.0345929866246329,4
"set1_3_11869_363_RS1_E_peripheral_S14_R1_001","set1_3_11869_363_RS1_E_peripheral_S14_R1_001",1,0.0420219475129077,4
"set1_3_11871_363_NL_E_S47_R1_001","set1_3_11871_363_NL_E_S47_R1_001",3,0.0374249551460489,4
"set1_3_11873_363_IDC_E_S30_R1_001","set1_3_11873_363_IDC_E_S30_R1_001",1,0.0341767939246862,4
"set1_3_11874_364_RS1_E_center_S38_R1_001","set1_3_11874_364_RS1_E_center_S38_R1_001",3,0.0326139402769592,4
"set1_3_11876_364_RS1_E_peripheral_S16_R1_001","set1_3_11876_364_RS1_E_peripheral_S16_R1_001",1,0.0433701882406792,4
"set1_3_11878_364_NL_E_S19_R1_001","set1_3_11878_364_NL_E_S19_R1_001",3,0.0422829078196321,4
"set1_3_11880_364_RS2_E_center_S12_R1_001","set1_3_11880_364_RS2_E_center_S12_R1_001",1,0.0456004907584932,4
"set1_3_11882_364_RS2_E_peripheral_S6_R1_001","set1_3_11882_364_RS2_E_peripheral_S6_R1_001",1,0.0395394110116429,4
"set1_3_11885_364_NL_E_S22_R1_001","set1_3_11885_364_NL_E_S22_R1_001",3,0.0484172429531416,4
"set1_3_13813_552_IBC_Ep_1","set1_3_13813_552_IBC_Ep_1",2,0.0793006969791599,4
"set1_3_13815_552_EN_Ep_1","set1_3_13815_552_EN_Ep_1",1,0.0711860073013908,4
"set1_3_13819_552_NL_Ep","set1_3_13819_552_NL_Ep",3,0.0590165420712309,4
"set1_3_13821_551_IBC_Ep_2","set1_3_13821_551_IBC_Ep_2",4,0.138019215502529,4
"set1_3_13823_551_AM_Ep","set1_3_13823_551_AM_Ep",1,0.0630866638779568,4
"set1_3_13825_551_UDH_Ep","set1_3_13825_551_UDH_Ep",4,0.110190483873411,4
"set1_3_13826_551_NL_Ep","set1_3_13826_551_NL_Ep",3,0.0651738909193867,4
"set1_3_13828_551_DCIS_Ep","set1_3_13828_551_DCIS_Ep",4,0.0992719030784828,4
"set1_3_13830_550_ADH_Ep_1","set1_3_13830_550_ADH_Ep_1",4,0.0873177515056132,4
"set1_3_13832_550_IBC_Ep_1","set1_3_13832_550_IBC_Ep_1",4,0.101220546965929,4
"set1_3_13834_550_AM_Ep_2","set1_3_13834_550_AM_Ep_2",4,0.115197126280557,4
"set1_3_13836_550_DCIS_Ep_1","set1_3_13836_550_DCIS_Ep_1",4,0.0848405954315581,4
"set1_3_13838_550_CCC_Ep","set1_3_13838_550_CCC_Ep",1,0.0537728382855032,4
"set1_3_13840_549_DCIS_Ep","set1_3_13840_549_DCIS_Ep",2,0.0937480483407724,4
"set1_3_13842_549_IBC_Ep","set1_3_13842_549_IBC_Ep",2,0.110758536558441,4
"set1_3_13844_549_IN_Ep","set1_3_13844_549_IN_Ep",3,0.0460053708120324,4
"set1_3_13846_550_IBC_Ep_2","set1_3_13846_550_IBC_Ep_2",4,0.0713994708907857,4
"set1_3_13848_550_DCIS_Ep_2","set1_3_13848_550_DCIS_Ep_2",4,0.087893467544938,4
"set1_3_13850_549_IP_Ep","set1_3_13850_549_IP_Ep",3,0.0540467208547006,4
"set1_3_13852_549_MC_Ep","set1_3_13852_549_MC_Ep",3,0.0492241316612799,4
"set1_3_13854_549_NL_Ep","set1_3_13854_549_NL_Ep",3,0.0680062762092339,4
"set1_3_13856_549_AM_Ep","set1_3_13856_549_AM_Ep",4,0.138799291500647,4
"set1_3_13858_548_DCIS_Ep","set1_3_13858_548_DCIS_Ep",2,0.0909593463904004,4
"set1_3_13860_548_IBC_Ep","set1_3_13860_548_IBC_Ep",2,0.0877447526896659,4
"set1_3_13862_547_NL_Ep","set1_3_13862_547_NL_Ep",3,0.0788223872944124,4
"set1_3_13864_547_CCC_Ep_1","set1_3_13864_547_CCC_Ep_1",1,0.0567209578714645,4
"set1_3_13866_547_CCH_Ep_1","set1_3_13866_547_CCH_Ep_1",1,0.0730514187449466,4
"set1_3_13868_547_IBC_Ep_1","set1_3_13868_547_IBC_Ep_1",2,0.0942121020324082,4
"set1_3_13870_547_DCIS_Ep","set1_3_13870_547_DCIS_Ep",2,0.104257485366856,4
"set1_3_13872_547_CCC_Ep_2","set1_3_13872_547_CCC_Ep_2",3,0.0663531277118907,4
"set1_3_13876_547_CCC_Ep_3","set1_3_13876_547_CCC_Ep_3",1,0.0512892471165763,4
"set1_3_13878_547_IBC_Ep_2","set1_3_13878_547_IBC_Ep_2",2,0.101560622423495,4
"set1_3_13880_547_NL_Ep","set1_3_13880_547_NL_Ep",3,0.0777608927168574,4
"set1_3_13882_546_NL_Ep","set1_3_13882_546_NL_Ep",3,0.0784255194161285,4
"set1_3_13884_546_ALH_Ep","set1_3_13884_546_ALH_Ep",1,0.0875247446626602,4
"set1_3_13886_546_IBC_Ep","set1_3_13886_546_IBC_Ep",2,0.0954893402394976,4
"set1_3_13888_546_LIN_Ep","set1_3_13888_546_LIN_Ep",3,0.0670517741788952,4
"set1_3_13890_546_CCH_Ep","set1_3_13890_546_CCH_Ep",1,0.0871854561921693,4
"set1_3_13892_546_HIN_Ep","set1_3_13892_546_HIN_Ep",3,0.0654359770169992,4
"set1_3_13894_546_MIN_Ep","set1_3_13894_546_MIN_Ep",3,0.0773270246693894,4
"set1_3_13896_545_CCC_Ep_1","set1_3_13896_545_CCC_Ep_1",4,0.0723482613468835,4
"set1_3_13898_545_ADH_Ep","set1_3_13898_545_ADH_Ep",1,0.0837725533871301,4
"set1_3_13900_545_UDH_Ep_1","set1_3_13900_545_UDH_Ep_1",1,0.0641211016571431,4
"set1_3_13902_545_AM_Ep_1","set1_3_13902_545_AM_Ep_1",4,0.140538456484832,4
"set1_3_13904_545_IBC_Ep","set1_3_13904_545_IBC_Ep",4,0.139733081075911,4
"set1_3_13906_545_DCIS_Ep_1","set1_3_13906_545_DCIS_Ep_1",4,0.140048710049179,4
"set1_3_13908_545_CCC_Ep_2","set1_3_13908_545_CCC_Ep_2",1,0.0655179790962176,4
"set1_3_13910_545_AM_Ep_2","set1_3_13910_545_AM_Ep_2",4,0.177909559396597,4
"set1_3_13912_545_UDH_Ep_2","set1_3_13912_545_UDH_Ep_2",1,0.0613985030547385,4
"set1_3_13914_545_NL_Ep","set1_3_13914_545_NL_Ep",1,0.0703390319780528,4
