"","Gene","Cluster","Max_Weight","Rank"
"IGHA2","IGHA2",1,2.62048988005642,4
"AC092069.1","AC092069.1",3,6.84891515680686,4
"IGHG4","IGHG4",2,3.62780268456457,4
"MUCL1","MUCL1",1,2.39566434661149,4
"PIP","PIP",1,3.02108002771053,4
"FDCSP","FDCSP",2,3.55415713521993,4
"COL11A1","COL11A1",4,3.96358137905423,4
"IGLC7","IGLC7",2,2.61849323437812,4
"IGLC3","IGLC3",2,2.8917752094935,4
"IGHG1","IGHG1",2,4.0069927582162,4
"HLA-DRB5","HLA-DRB5",4,2.16621471038877,4
"MTND3P19","MTND3P19",1,1.79529573619216,4
"IGHG3","IGHG3",2,3.80164603825559,4
"CXCL9","CXCL9",2,4.41979198415572,4
"IGHGP","IGHGP",2,3.33297211356515,4
"DHRS2","DHRS2",3,2.54555224557366,4
"MMP9","MMP9",2,3.42465006354866,4
"IGLC2","IGLC2",2,3.25272835732321,4
"ANKRD30A","ANKRD30A",1,3.18809622861045,4
"SCGB2A2","SCGB2A2",4,2.48284555748044,4
"MMP13","MMP13",4,3.80621590388655,4
"ALOX15B","ALOX15B",4,2.26762474595654,4
"CXCL13","CXCL13",2,3.96073796281115,4
"COL10A1","COL10A1",4,4.00410615241561,4
"UGT2B11","UGT2B11",3,2.72732962708137,4
"MS4A1","MS4A1",2,4.22874184845257,4
"COMP","COMP",4,3.63934780672861,4
"CXCL10","CXCL10",2,3.58374932162089,4
"KRT81","KRT81",4,3.38695623126123,4
"MMP11","MMP11",4,3.70532387655817,4
"PIGR","PIGR",1,2.54153022933326,4
"PENK","PENK",1,3.15950879603733,4
"MMP7","MMP7",4,3.50762902750781,4
"MMP1","MMP1",4,3.33137785867479,4
"CCL19","CCL19",2,4.42258752088209,4
"HLA-DRB6","HLA-DRB6",2,2.51034559274374,4
"TAC1","TAC1",1,3.43929002674083,4
"KRT15","KRT15",4,2.89773724138283,4
"PLA2G2A","PLA2G2A",3,2.73561080946569,4
"LTF","LTF",2,2.10953341681217,4
"CALML5","CALML5",4,3.25896723868894,4
"LRRC15","LRRC15",4,3.47094623564953,4
"AC008440.1","AC008440.1",3,5.70732243433032,4
"IGHG2","IGHG2",2,3.06779041535302,4
"SPP1","SPP1",4,3.59054003863168,4
"ADH1B","ADH1B",1,4.01336959883751,4
"DLK1","DLK1",1,3.34694520466142,4
"HMGCS2","HMGCS2",1,2.40862630166752,4
"PI16","PI16",1,3.58635324500003,4
"HBB","HBB",1,3.04492585685173,4
"SLPI","SLPI",4,3.17991746287669,4
"AKR1B15","AKR1B15",3,2.73165455509481,4
"TFF3","TFF3",1,3.07446239466046,4
"KRT19","KRT19",4,3.75638748242494,4
"FNDC1","FNDC1",4,3.45732512406934,4
"AC022784.1","AC022784.1",1,2.33234667002571,4
"SERHL2","SERHL2",3,2.14666181773872,4
"AZGP1","AZGP1",4,2.78389062992586,4
"KRT14","KRT14",4,2.94406764406266,4
"LINC00993","LINC00993",1,2.82832296650182,4
"DCX","DCX",1,3.40805211726792,4
"SCGB1D2","SCGB1D2",1,2.21289729097497,4
"GJB2","GJB2",4,3.77266640580232,4
"HLA-DQA2","HLA-DQA2",2,2.74634831059258,4
"VEGFD","VEGFD",1,3.74911893722197,4
"GABRP","GABRP",4,2.92856076503564,4
"ACSM1","ACSM1",3,2.39507877559458,4
"IGHD","IGHD",2,3.06046727343169,4
"RPL10","RPL10",4,2.36140073658761,4
"AC104984.4","AC104984.4",3,4.79395652280393,4
"CRABP1","CRABP1",1,2.32125743397754,4
"GSTM5","GSTM5",1,2.8439284411674,4
"CCL21","CCL21",1,2.60202024755277,4
"CEMIP","CEMIP",4,3.14965046016711,4
"ALX4","ALX4",1,3.68480943217435,4
"MMP3","MMP3",4,2.69141913402182,4
"UGT2B28","UGT2B28",3,2.85269706787918,4
"CR2","CR2",2,3.15871206452345,4
"CCR7","CCR7",2,3.89859398959867,4
"HBA2","HBA2",1,3.00760642202821,4
"CCL18","CCL18",2,2.89147557211375,4
"AC137932.3","AC137932.3",3,5.22711933566372,4
"SCARA5","SCARA5",1,3.87271915642551,4
"IL6","IL6",1,2.34605673506631,4
"FABP4","FABP4",1,3.74067129504139,4
"FOXA1","FOXA1",4,2.35297678493728,4
