"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_11771_354_EN_S_S2_R1_001","set1_3_11771_354_EN_S_S2_R1_001",1,0.226311082914757,4
"set1_3_11773_354_IDC_S_S4_R1_001","set1_3_11773_354_IDC_S_S4_R1_001",4,0.179916939289953,4
"set1_3_11775_354_RS1_S_center_S6_R1_001","set1_3_11775_354_RS1_S_center_S6_R1_001",3,0.172812379135162,4
"set1_3_11777_354_RS1_S_peripheral_S8_R1_001","set1_3_11777_354_RS1_S_peripheral_S8_R1_001",1,0.21105328960415,4
"set1_3_11779_354_RS2_S_center_S10_R1_001","set1_3_11779_354_RS2_S_center_S10_R1_001",3,0.153085907614152,4
"set1_3_11781_354_RS2_S_peripheral_S12_R1_001","set1_3_11781_354_RS2_S_peripheral_S12_R1_001",1,0.227535331707384,4
"set1_3_11783_354_NL_S_S14_R1_001","set1_3_11783_354_NL_S_S14_R1_001",1,0.222183753374139,4
"set1_3_11785_355_RS1_S_center_S16_R1_001","set1_3_11785_355_RS1_S_center_S16_R1_001",4,0.198443649037861,4
"set1_3_11787_355_RS1_S_peripheral_S18_R1_001","set1_3_11787_355_RS1_S_peripheral_S18_R1_001",1,0.198787675884801,4
"set1_3_11790_355_RS2_S_center_S21_R1_001","set1_3_11790_355_RS2_S_center_S21_R1_001",4,0.200407503629183,4
"set1_3_11792_355_RS2_S_peripheral_S23_R1_001","set1_3_11792_355_RS2_S_peripheral_S23_R1_001",1,0.179005340503555,4
"set1_3_11795_355_NL_S_S26_R1_001","set1_3_11795_355_NL_S_S26_R1_001",1,0.219838837883644,4
"set1_3_11797_355_RS3_S_center_S28_R1_001","set1_3_11797_355_RS3_S_center_S28_R1_001",4,0.200235236244453,4
"set1_3_11799_355_RS3_S_peripheral_S30_R1_001","set1_3_11799_355_RS3_S_peripheral_S30_R1_001",1,0.194978166177183,4
"set1_3_11803_356_RS1_S_center_S33_R1_001","set1_3_11803_356_RS1_S_center_S33_R1_001",3,0.175075358611766,4
"set1_3_11805_356_RS1_S_peripheral_S35_R1_001","set1_3_11805_356_RS1_S_peripheral_S35_R1_001",1,0.180452596954583,4
"set1_3_11807_357_NL_S_S41_R1_001","set1_3_11807_357_NL_S_S41_R1_001",1,0.180011333496433,4
"set1_3_11809_357_RS1_S_center_S33_R1_001","set1_3_11809_357_RS1_S_center_S33_R1_001",3,0.166494663851524,4
"set1_3_11811_357_RS1_S_peripheral_S42_R1_001","set1_3_11811_357_RS1_S_peripheral_S42_R1_001",1,0.171671742601244,4
