"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_11771_354_EN_S_S2_R1_001","set1_3_11771_354_EN_S_S2_R1_001",4,0.25215646701721,4
"set1_3_11773_354_IDC_S_S4_R1_001","set1_3_11773_354_IDC_S_S4_R1_001",2,0.219606786192776,4
"set1_3_11775_354_RS1_S_center_S6_R1_001","set1_3_11775_354_RS1_S_center_S6_R1_001",2,0.187301243328697,4
"set1_3_11777_354_RS1_S_peripheral_S8_R1_001","set1_3_11777_354_RS1_S_peripheral_S8_R1_001",4,0.280979853659064,4
"set1_3_11779_354_RS2_S_center_S10_R1_001","set1_3_11779_354_RS2_S_center_S10_R1_001",3,0.208155430111547,4
"set1_3_11781_354_RS2_S_peripheral_S12_R1_001","set1_3_11781_354_RS2_S_peripheral_S12_R1_001",4,0.212024451033812,4
"set1_3_11783_354_NL_S_S14_R1_001","set1_3_11783_354_NL_S_S14_R1_001",4,0.236443808809105,4
"set1_3_11785_355_RS1_S_center_S16_R1_001","set1_3_11785_355_RS1_S_center_S16_R1_001",2,0.233987923147421,4
"set1_3_11787_355_RS1_S_peripheral_S18_R1_001","set1_3_11787_355_RS1_S_peripheral_S18_R1_001",4,0.226556358408305,4
"set1_3_11790_355_RS2_S_center_S21_R1_001","set1_3_11790_355_RS2_S_center_S21_R1_001",3,0.24425938030435,4
"set1_3_11792_355_RS2_S_peripheral_S23_R1_001","set1_3_11792_355_RS2_S_peripheral_S23_R1_001",4,0.211364828916422,4
"set1_3_11795_355_NL_S_S26_R1_001","set1_3_11795_355_NL_S_S26_R1_001",4,0.272722753286131,4
"set1_3_11797_355_RS3_S_center_S28_R1_001","set1_3_11797_355_RS3_S_center_S28_R1_001",3,0.218828686713498,4
"set1_3_11799_355_RS3_S_peripheral_S30_R1_001","set1_3_11799_355_RS3_S_peripheral_S30_R1_001",4,0.234950548966497,4
"set1_3_11803_356_RS1_S_center_S33_R1_001","set1_3_11803_356_RS1_S_center_S33_R1_001",2,0.1937694596728,4
"set1_3_11805_356_RS1_S_peripheral_S35_R1_001","set1_3_11805_356_RS1_S_peripheral_S35_R1_001",4,0.233546275607955,4
"set1_3_11807_357_NL_S_S41_R1_001","set1_3_11807_357_NL_S_S41_R1_001",4,0.170772167980214,4
"set1_3_11809_357_RS1_S_center_S33_R1_001","set1_3_11809_357_RS1_S_center_S33_R1_001",2,0.133068991567657,4
"set1_3_11811_357_RS1_S_peripheral_S42_R1_001","set1_3_11811_357_RS1_S_peripheral_S42_R1_001",4,0.15114009762127,4
"set1_3_11814_358_NL_S_S37_R1_001","set1_3_11814_358_NL_S_S37_R1_001",4,0.195208736037226,4
"set1_3_11816_358_EN_S_S39_R1_001","set1_3_11816_358_EN_S_S39_R1_001",3,0.227066672213955,4
"set1_3_11818_358_RS1_S_center_S41_R1_001","set1_3_11818_358_RS1_S_center_S41_R1_001",2,0.193612515232618,4
"set1_3_11820_358_RS1_S_peripheral_S43_R1_001","set1_3_11820_358_RS1_S_peripheral_S43_R1_001",4,0.192576948439777,4
"set1_3_11822_358_IBC_S_S45_R1_001","set1_3_11822_358_IBC_S_S45_R1_001",3,0.262733252681778,4
"set1_3_11824_358_RS2_S_center_S47_R1_001","set1_3_11824_358_RS2_S_center_S47_R1_001",2,0.206357235735558,4
"set1_3_11826_358_RS2_S_peripheral_S49_R1_001","set1_3_11826_358_RS2_S_peripheral_S49_R1_001",4,0.238548770734469,4
"set1_3_11828_359_RS1_S_center_S51_R1_001","set1_3_11828_359_RS1_S_center_S51_R1_001",4,0.152294919415174,4
"set1_3_11830_359_RS1_S_peripheral_S53_R1_001","set1_3_11830_359_RS1_S_peripheral_S53_R1_001",4,0.162057124969591,4
"set1_3_11834_359_RS2_S_center_S56_R1_001","set1_3_11834_359_RS2_S_center_S56_R1_001",2,0.227537237631366,4
"set1_3_11836_359_RS2_S_peripheral_S58_R1_001","set1_3_11836_359_RS2_S_peripheral_S58_R1_001",4,0.251483489714358,4
"set1_3_11839_360_RS1_S_center_S43_R1_001","set1_3_11839_360_RS1_S_center_S43_R1_001",2,0.122801263914158,4
"set1_3_11841_360_RS1_S_peripheral_S36_R1_001","set1_3_11841_360_RS1_S_peripheral_S36_R1_001",4,0.157289780224972,4
"set1_3_11843_360_NL_S_S53_R1_001","set1_3_11843_360_NL_S_S53_R1_001",4,0.164126933040388,4
"set1_3_11845_361_RS1_S_center_S31_R1_001","set1_3_11845_361_RS1_S_center_S31_R1_001",3,0.13197544108197,4
"set1_3_11847_361_RS1_S_peripheral_S35_R1_001","set1_3_11847_361_RS1_S_peripheral_S35_R1_001",3,0.149207620162458,4
"set1_3_11849_361_RS2_S_center_S20_R1_001","set1_3_11849_361_RS2_S_center_S20_R1_001",2,0.126141477664191,4
"set1_3_11851_361_RS2_S_peripheral_S45_R1_001","set1_3_11851_361_RS2_S_peripheral_S45_R1_001",4,0.138241517499189,4
"set1_3_11853_361_RS4_S_center_S29_R1_001","set1_3_11853_361_RS4_S_center_S29_R1_001",3,0.197167794306143,4
"set1_3_11855_361_RS4_S_peripheral_S25_R1_001","set1_3_11855_361_RS4_S_peripheral_S25_R1_001",4,0.153347151092036,4
"set1_3_11857_361_RS3_S_center_S26_R1_001","set1_3_11857_361_RS3_S_center_S26_R1_001",2,0.137151300751523,4
"set1_3_11859_361_RS3_S_peripheral_S54_R1_001","set1_3_11859_361_RS3_S_peripheral_S54_R1_001",4,0.147408308518732,4
"set1_3_11863_362_RS1_S_center_S28_R1_001","set1_3_11863_362_RS1_S_center_S28_R1_001",2,0.129712608499724,4
"set1_3_11865_362_RS1_S_peripheral_S40_R1_001","set1_3_11865_362_RS1_S_peripheral_S40_R1_001",4,0.139349147653799,4
"set1_3_11868_363_RS1_S_center_S27_R1_001","set1_3_11868_363_RS1_S_center_S27_R1_001",2,0.148085492568613,4
"set1_3_11870_363_RS1_S_peripheral_S46_R1_001","set1_3_11870_363_RS1_S_peripheral_S46_R1_001",4,0.14240390014254,4
"set1_3_11872_363_NL_S_S57_R1_001","set1_3_11872_363_NL_S_S57_R1_001",4,0.146120803173873,4
"set1_3_11875_364_RS1_S_center_S52_R1_001","set1_3_11875_364_RS1_S_center_S52_R1_001",2,0.11166806044331,4
"set1_3_11877_364_RS1_S_peripheral_S56_R1_001","set1_3_11877_364_RS1_S_peripheral_S56_R1_001",4,0.149024491145685,4
"set1_3_11881_364_RS2_S_center_S37_R1_001","set1_3_11881_364_RS2_S_center_S37_R1_001",2,0.151336382288522,4
"set1_3_13814_552_IBC_Str_1","set1_3_13814_552_IBC_Str_1",2,0.197430376947256,4
"set1_3_13829_551_DCIS_Str","set1_3_13829_551_DCIS_Str",4,0.132004846918991,4
"set1_3_13831_550_ADH_Str_1","set1_3_13831_550_ADH_Str_1",4,0.124715971902525,4
